n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.96875
1,uniform,manhattan,1.0,0.9765625
1,uniform,chebyshev,1.0,0.9609375
1,uniform,minkowski,1.0,0.96875
1,distance,euclidean,1.0,0.96875
1,distance,manhattan,1.0,0.9765625
1,distance,chebyshev,1.0,0.9609375
1,distance,minkowski,1.0,0.96875
2,uniform,euclidean,0.9804305283757339,0.953125
2,uniform,manhattan,0.9843444227005871,0.96875
2,uniform,chebyshev,0.9686888454011742,0.9296875
2,uniform,minkowski,0.9804305283757339,0.953125
2,distance,euclidean,1.0,0.96875
2,distance,manhattan,1.0,0.9765625
2,distance,chebyshev,1.0,0.9609375
2,distance,minkowski,1.0,0.96875
3,uniform,euclidean,0.9843444227005871,0.9765625
3,uniform,manhattan,0.9902152641878669,0.9765625
3,uniform,chebyshev,0.9784735812133072,0.9375
3,uniform,minkowski,0.9843444227005871,0.9765625
3,distance,euclidean,1.0,0.9765625
3,distance,manhattan,1.0,0.9765625
3,distance,chebyshev,1.0,0.9453125
3,distance,minkowski,1.0,0.9765625
4,uniform,euclidean,0.9667318982387475,0.9609375
4,uniform,manhattan,0.9726027397260274,0.96875
4,uniform,chebyshev,0.958904109589041,0.9296875
4,uniform,minkowski,0.9667318982387475,0.9609375
4,distance,euclidean,1.0,0.9765625
4,distance,manhattan,1.0,0.9765625
4,distance,chebyshev,1.0,0.953125
4,distance,minkowski,1.0,0.9765625
5,uniform,euclidean,0.9647749510763209,0.96875
5,uniform,manhattan,0.9686888454011742,0.96875
5,uniform,chebyshev,0.9628180039138943,0.9375
5,uniform,minkowski,0.9647749510763209,0.96875
5,distance,euclidean,1.0,0.96875
5,distance,manhattan,1.0,0.96875
5,distance,chebyshev,1.0,0.9453125
5,distance,minkowski,1.0,0.96875
6,uniform,euclidean,0.9628180039138943,0.96875
6,uniform,manhattan,0.9667318982387475,0.96875
6,uniform,chebyshev,0.9530332681017613,0.9375
6,uniform,minkowski,0.9628180039138943,0.96875
6,distance,euclidean,1.0,0.96875
6,distance,manhattan,1.0,0.96875
6,distance,chebyshev,1.0,0.9375
6,distance,minkowski,1.0,0.96875
7,uniform,euclidean,0.9530332681017613,0.96875
7,uniform,manhattan,0.9569471624266145,0.96875
7,uniform,chebyshev,0.9647749510763209,0.9375
7,uniform,minkowski,0.9530332681017613,0.96875
7,distance,euclidean,1.0,0.96875
7,distance,manhattan,1.0,0.96875
7,distance,chebyshev,1.0,0.9453125
7,distance,minkowski,1.0,0.96875
8,uniform,euclidean,0.9569471624266145,0.9609375
8,uniform,manhattan,0.958904109589041,0.9453125
8,uniform,chebyshev,0.958904109589041,0.9140625
8,uniform,minkowski,0.9569471624266145,0.9609375
8,distance,euclidean,1.0,0.96875
8,distance,manhattan,1.0,0.96875
8,distance,chebyshev,1.0,0.9375
8,distance,minkowski,1.0,0.96875
9,uniform,euclidean,0.9569471624266145,0.9609375
9,uniform,manhattan,0.9569471624266145,0.953125
9,uniform,chebyshev,0.9510763209393346,0.9296875
9,uniform,minkowski,0.9569471624266145,0.9609375
9,distance,euclidean,1.0,0.96875
9,distance,manhattan,1.0,0.96875
9,distance,chebyshev,1.0,0.9453125
9,distance,minkowski,1.0,0.96875
10,uniform,euclidean,0.9608610567514677,0.953125
