n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
100,30.0,5,0.9980430528375733,0.9140625
100,20.0,5,0.9980430528375733,0.9140625
100,10.0,2,0.9980430528375733,0.9140625
100,,5,0.9980430528375733,0.9140625
50,20.0,2,1.0,0.90625
50,10.0,5,0.9882583170254403,0.90625
100,20.0,10,0.9921722113502935,0.90625
100,10.0,10,0.9823874755381604,0.90625
100,10.0,5,0.9882583170254403,0.90625
100,,10,0.9921722113502935,0.90625
50,30.0,10,0.9863013698630136,0.90625
50,30.0,5,0.9980430528375733,0.90625
50,30.0,2,1.0,0.90625
50,20.0,10,0.9863013698630136,0.90625
50,20.0,5,0.9980430528375733,0.90625
100,30.0,10,0.9921722113502935,0.90625
10,10.0,5,0.9823874755381604,0.90625
50,,10,0.9863013698630136,0.90625
50,,5,0.9980430528375733,0.90625
50,,2,1.0,0.90625
50,10.0,2,0.9941291585127201,0.8984375
10,,5,0.9902152641878669,0.8984375
10,30.0,5,0.9902152641878669,0.8984375
100,,2,1.0,0.8984375
100,30.0,2,1.0,0.8984375
50,10.0,10,0.9804305283757339,0.8984375
10,20.0,5,0.9902152641878669,0.8984375
10,10.0,10,0.9784735812133072,0.8984375
100,20.0,2,1.0,0.8984375
10,,10,0.9686888454011742,0.890625
10,10.0,2,0.9902152641878669,0.890625
10,20.0,10,0.9686888454011742,0.890625
10,30.0,10,0.9686888454011742,0.890625
10,20.0,2,0.9980430528375733,0.875
10,30.0,2,0.9980430528375733,0.875
10,,2,0.9980430528375733,0.875
