Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,80,3,uniform,chebyshev,0.9623430962343096,0.9916666666666667
Left,80,4,uniform,minkowski,0.9644351464435147,0.9916666666666667
Left,80,4,uniform,euclidean,0.9644351464435147,0.9916666666666667
Left,80,2,uniform,chebyshev,0.9686192468619247,0.9916666666666667
Left,20,6,distance,minkowski,1.0,0.9833333333333333
Left,15,10,distance,euclidean,1.0,0.9833333333333333
Left,80,1,distance,minkowski,1.0,0.9833333333333333
Left,15,10,distance,minkowski,1.0,0.9833333333333333
Left,20,7,distance,manhattan,1.0,0.9833333333333333
Left,20,7,distance,euclidean,1.0,0.9833333333333333
Left,80,2,uniform,manhattan,0.9728033472803347,0.9833333333333333
Left,20,7,uniform,minkowski,0.9602510460251046,0.9833333333333333
Left,75,13,distance,manhattan,1.0,0.9833333333333333
Left,80,2,distance,euclidean,1.0,0.9833333333333333
Left,20,7,uniform,euclidean,0.9602510460251046,0.9833333333333333
Left,80,2,distance,minkowski,1.0,0.9833333333333333
Left,20,14,uniform,manhattan,0.9476987447698745,0.9833333333333333
Left,20,6,distance,manhattan,1.0,0.9833333333333333
Left,20,8,uniform,euclidean,0.9623430962343096,0.9833333333333333
Left,20,6,distance,euclidean,1.0,0.9833333333333333
Left,80,3,distance,euclidean,1.0,0.9833333333333333
Left,20,6,uniform,minkowski,0.9581589958158996,0.9833333333333333
Left,80,3,distance,chebyshev,1.0,0.9833333333333333
Left,80,3,distance,minkowski,1.0,0.9833333333333333
Left,80,4,uniform,chebyshev,0.9623430962343096,0.9833333333333333
Left,80,4,distance,euclidean,1.0,0.9833333333333333
Left,80,4,distance,chebyshev,1.0,0.9833333333333333
Left,80,4,distance,minkowski,1.0,0.9833333333333333
Left,20,6,uniform,manhattan,0.9644351464435147,0.9833333333333333
Left,20,6,uniform,euclidean,0.9581589958158996,0.9833333333333333
Left,20,7,distance,minkowski,1.0,0.9833333333333333
Left,20,8,uniform,manhattan,0.9581589958158996,0.9833333333333333
Left,80,5,distance,chebyshev,1.0,0.9833333333333333
Left,45,13,uniform,manhattan,0.9539748953974896,0.9833333333333333
Left,75,16,distance,manhattan,1.0,0.9833333333333333
Left,20,14,distance,manhattan,1.0,0.9833333333333333
Left,20,13,distance,manhattan,1.0,0.9833333333333333
Left,20,13,distance,euclidean,1.0,0.9833333333333333
Left,20,1,uniform,chebyshev,1.0,0.9833333333333333
Left,20,12,distance,minkowski,1.0,0.9833333333333333
Left,20,15,distance,manhattan,1.0,0.9833333333333333
Left,20,12,distance,euclidean,1.0,0.9833333333333333
Left,20,11,distance,minkowski,1.0,0.9833333333333333
Left,20,11,distance,manhattan,1.0,0.9833333333333333
Left,20,11,distance,euclidean,1.0,0.9833333333333333
Left,75,15,distance,manhattan,1.0,0.9833333333333333
Left,20,10,distance,minkowski,1.0,0.9833333333333333
Left,20,16,distance,manhattan,1.0,0.9833333333333333
Left,20,8,uniform,minkowski,0.9623430962343096,0.9833333333333333
Left,20,10,distance,manhattan,1.0,0.9833333333333333
Left,20,10,distance,euclidean,1.0,0.9833333333333333
Left,75,15,uniform,manhattan,0.9476987447698745,0.9833333333333333
Left,20,9,distance,minkowski,1.0,0.9833333333333333
Left,20,9,distance,manhattan,1.0,0.9833333333333333
Left,20,9,distance,euclidean,1.0,0.9833333333333333
Left,75,14,distance,manhattan,1.0,0.9833333333333333
Left,80,1,uniform,euclidean,1.0,0.9833333333333333
Left,20,8,distance,minkowski,1.0,0.9833333333333333
Left,20,8,distance,manhattan,1.0,0.9833333333333333
Left,80,1,uniform,minkowski,1.0,0.9833333333333333
Left,80,1,distance,euclidean,1.0,0.9833333333333333
Left,20,8,distance,euclidean,1.0,0.9833333333333333
Left,20,5,distance,minkowski,1.0,0.9833333333333333
Left,75,12,uniform,manhattan,0.9539748953974896,0.9833333333333333
Left,55,9,distance,euclidean,1.0,0.9833333333333333
Left,55,10,distance,minkowski,1.0,0.9833333333333333
Left,55,9,uniform,euclidean,0.9497907949790795,0.9833333333333333
Left,55,9,uniform,minkowski,0.9497907949790795,0.9833333333333333
Left,20,2,distance,chebyshev,1.0,0.9833333333333333
Left,55,9,distance,minkowski,1.0,0.9833333333333333
Left,55,10,uniform,euclidean,0.9435146443514645,0.9833333333333333
Left,75,10,uniform,manhattan,0.9644351464435147,0.9833333333333333
Left,55,10,uniform,minkowski,0.9435146443514645,0.9833333333333333
Left,55,10,distance,euclidean,1.0,0.9833333333333333
Left,75,12,distance,manhattan,1.0,0.9833333333333333
Left,55,11,uniform,euclidean,0.9435146443514645,0.9833333333333333
Left,20,3,distance,chebyshev,1.0,0.9833333333333333
Left,75,10,distance,manhattan,1.0,0.9833333333333333
Left,55,11,uniform,minkowski,0.9435146443514645,0.9833333333333333
Left,55,11,distance,euclidean,1.0,0.9833333333333333
Left,20,1,distance,chebyshev,1.0,0.9833333333333333
Left,55,11,distance,minkowski,1.0,0.9833333333333333
Left,55,12,distance,euclidean,1.0,0.9833333333333333
Left,55,12,distance,minkowski,1.0,0.9833333333333333
Left,55,13,distance,euclidean,1.0,0.9833333333333333
Left,55,13,distance,minkowski,1.0,0.9833333333333333
Left,20,3,uniform,chebyshev,0.9623430962343096,0.9833333333333333
Left,20,13,distance,minkowski,1.0,0.9833333333333333
Left,20,4,distance,euclidean,1.0,0.9833333333333333
Left,20,5,uniform,minkowski,0.9602510460251046,0.9833333333333333
Left,20,4,uniform,euclidean,0.9623430962343096,0.9833333333333333
Left,20,5,uniform,euclidean,0.9602510460251046,0.9833333333333333
Left,20,4,distance,chebyshev,1.0,0.9833333333333333
Left,20,4,distance,manhattan,1.0,0.9833333333333333
Left,75,13,uniform,manhattan,0.9518828451882845,0.9833333333333333
Left,20,4,uniform,manhattan,0.9748953974895398,0.9833333333333333
Left,20,4,uniform,chebyshev,0.9665271966527197,0.9833333333333333
Left,20,4,distance,minkowski,1.0,0.9833333333333333
Left,20,5,distance,euclidean,1.0,0.9833333333333333
Left,20,4,uniform,minkowski,0.9623430962343096,0.9833333333333333
Right,40,7,distance,manhattan,1.0,0.975
Right,40,9,distance,manhattan,1.0,0.975
Right,40,7,distance,euclidean,1.0,0.975
Left,15,15,distance,euclidean,1.0,0.975
Left,20,10,uniform,minkowski,0.9497907949790795,0.975
Left,15,13,distance,euclidean,1.0,0.975
Right,40,6,distance,minkowski,1.0,0.975
Right,40,6,distance,manhattan,1.0,0.975
Left,20,10,uniform,euclidean,0.9497907949790795,0.975
Right,40,6,distance,euclidean,1.0,0.975
Right,40,7,distance,minkowski,1.0,0.975
Left,15,12,distance,euclidean,1.0,0.975
Left,15,13,distance,manhattan,1.0,0.975
Left,75,6,distance,manhattan,1.0,0.975
Left,75,11,distance,manhattan,1.0,0.975
Right,75,4,distance,minkowski,1.0,0.975
Left,20,1,distance,manhattan,1.0,0.975
Right,75,4,distance,manhattan,1.0,0.975
Left,20,13,uniform,minkowski,0.9476987447698745,0.975
Right,40,4,uniform,manhattan,0.9665271966527197,0.975
Left,20,13,uniform,euclidean,0.9476987447698745,0.975
Right,75,4,distance,euclidean,1.0,0.975
Left,20,12,distance,manhattan,1.0,0.975
Left,15,13,distance,minkowski,1.0,0.975
Left,20,12,uniform,minkowski,0.9518828451882845,0.975
Left,20,12,uniform,euclidean,0.9518828451882845,0.975
Left,75,11,uniform,manhattan,0.9560669456066946,0.975
Left,20,5,uniform,manhattan,0.9748953974895398,0.975
Left,20,11,uniform,minkowski,0.9581589958158996,0.975
Left,20,11,uniform,euclidean,0.9581589958158996,0.975
Right,40,5,distance,minkowski,1.0,0.975
Left,15,15,distance,minkowski,1.0,0.975
Left,20,3,distance,minkowski,1.0,0.975
Left,15,10,distance,manhattan,1.0,0.975
Right,40,4,distance,manhattan,1.0,0.975
