Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,15,1,uniform,euclidean,1.0,0.9
Left,15,1,uniform,manhattan,1.0,0.9083333333333333
Left,15,1,uniform,chebyshev,1.0,0.7916666666666666
Left,15,1,uniform,minkowski,1.0,0.9
Left,15,1,distance,euclidean,1.0,0.9
Left,15,1,distance,manhattan,1.0,0.9083333333333333
Left,15,1,distance,chebyshev,1.0,0.7916666666666666
Left,15,1,distance,minkowski,1.0,0.9
Left,15,2,uniform,euclidean,0.9644351464435147,0.9
Left,15,2,uniform,manhattan,0.9644351464435147,0.9
Left,15,2,uniform,chebyshev,0.9623430962343096,0.8083333333333333
Left,15,2,uniform,minkowski,0.9644351464435147,0.9
Left,15,2,distance,euclidean,1.0,0.9
Left,15,2,distance,manhattan,1.0,0.9083333333333333
Left,15,2,distance,chebyshev,1.0,0.7916666666666666
Left,15,2,distance,minkowski,1.0,0.9
Left,15,3,uniform,euclidean,0.9539748953974896,0.8833333333333333
Left,15,3,uniform,manhattan,0.9518828451882845,0.8833333333333333
Left,15,3,uniform,chebyshev,0.9205020920502092,0.7583333333333333
Left,15,3,uniform,minkowski,0.9539748953974896,0.8833333333333333
Left,15,3,distance,euclidean,1.0,0.8833333333333333
Left,15,3,distance,manhattan,1.0,0.8833333333333333
Left,15,3,distance,chebyshev,1.0,0.7833333333333333
Left,15,3,distance,minkowski,1.0,0.8833333333333333
Left,15,4,uniform,euclidean,0.9372384937238494,0.85
Left,15,4,uniform,manhattan,0.9288702928870293,0.8416666666666667
Left,15,4,uniform,chebyshev,0.899581589958159,0.7666666666666667
Left,15,4,uniform,minkowski,0.9372384937238494,0.85
Left,15,4,distance,euclidean,1.0,0.9
Left,15,4,distance,manhattan,1.0,0.8916666666666667
Left,15,4,distance,chebyshev,1.0,0.8
Left,15,4,distance,minkowski,1.0,0.9
Left,15,5,uniform,euclidean,0.9205020920502092,0.825
Left,15,5,uniform,manhattan,0.9205020920502092,0.8416666666666667
Left,15,5,uniform,chebyshev,0.8619246861924686,0.7333333333333333
Left,15,5,uniform,minkowski,0.9205020920502092,0.825
Left,15,5,distance,euclidean,1.0,0.875
Left,15,5,distance,manhattan,1.0,0.875
Left,15,5,distance,chebyshev,1.0,0.7833333333333333
Left,15,5,distance,minkowski,1.0,0.875
