Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,10,1,uniform,euclidean,1.0,0.4666666666666667
Left,10,1,uniform,manhattan,1.0,0.5
Left,10,1,uniform,chebyshev,1.0,0.5416666666666666
Left,10,1,uniform,minkowski,1.0,0.4666666666666667
Left,10,1,distance,euclidean,1.0,0.4666666666666667
Left,10,1,distance,manhattan,1.0,0.5
Left,10,1,distance,chebyshev,1.0,0.5416666666666666
Left,10,1,distance,minkowski,1.0,0.4666666666666667
Left,10,2,uniform,euclidean,0.7719665271966527,0.49166666666666664
Left,10,2,uniform,manhattan,0.7845188284518828,0.5333333333333333
Left,10,2,uniform,chebyshev,0.7635983263598326,0.55
Left,10,2,uniform,minkowski,0.7719665271966527,0.49166666666666664
Left,10,2,distance,euclidean,1.0,0.4666666666666667
Left,10,2,distance,manhattan,1.0,0.5
Left,10,2,distance,chebyshev,1.0,0.5333333333333333
Left,10,2,distance,minkowski,1.0,0.4666666666666667
Left,10,3,uniform,euclidean,0.7196652719665272,0.55
Left,10,3,uniform,manhattan,0.7468619246861925,0.5916666666666667
Left,10,3,uniform,chebyshev,0.7071129707112971,0.525
Left,10,3,uniform,minkowski,0.7196652719665272,0.55
Left,10,3,distance,euclidean,1.0,0.5333333333333333
Left,10,3,distance,manhattan,1.0,0.5666666666666667
Left,10,3,distance,chebyshev,1.0,0.5083333333333333
Left,10,3,distance,minkowski,1.0,0.5333333333333333
Left,10,4,uniform,euclidean,0.7071129707112971,0.575
Left,10,4,uniform,manhattan,0.7280334728033473,0.625
Left,10,4,uniform,chebyshev,0.6715481171548117,0.5333333333333333
Left,10,4,uniform,minkowski,0.7071129707112971,0.575
Left,10,4,distance,euclidean,1.0,0.5666666666666667
Left,10,4,distance,manhattan,1.0,0.6416666666666667
Left,10,4,distance,chebyshev,1.0,0.5416666666666666
Left,10,4,distance,minkowski,1.0,0.5666666666666667
Left,10,5,uniform,euclidean,0.6820083682008368,0.5833333333333334
Left,10,5,uniform,manhattan,0.7050209205020921,0.65
Left,10,5,uniform,chebyshev,0.6527196652719666,0.55
Left,10,5,uniform,minkowski,0.6820083682008368,0.5833333333333334
Left,10,5,distance,euclidean,1.0,0.575
Left,10,5,distance,manhattan,1.0,0.6416666666666667
Left,10,5,distance,chebyshev,1.0,0.5666666666666667
Left,10,5,distance,minkowski,1.0,0.575
Left,10,6,uniform,euclidean,0.6631799163179917,0.5833333333333334
Left,10,6,uniform,manhattan,0.6757322175732218,0.6666666666666666
Left,10,6,uniform,chebyshev,0.6485355648535565,0.5916666666666667
Left,10,6,uniform,minkowski,0.6631799163179917,0.5833333333333334
Left,10,6,distance,euclidean,1.0,0.6166666666666667
Left,10,6,distance,manhattan,1.0,0.6583333333333333
Left,10,6,distance,chebyshev,1.0,0.575
Left,10,6,distance,minkowski,1.0,0.6166666666666667
Left,10,7,uniform,euclidean,0.6736401673640168,0.6083333333333333
Left,10,7,uniform,manhattan,0.6652719665271967,0.6166666666666667
Left,10,7,uniform,chebyshev,0.6338912133891214,0.5916666666666667
Left,10,7,uniform,minkowski,0.6736401673640168,0.6083333333333333
Left,10,7,distance,euclidean,1.0,0.6166666666666667
Left,10,7,distance,manhattan,1.0,0.6333333333333333
Left,10,7,distance,chebyshev,1.0,0.575
Left,10,7,distance,minkowski,1.0,0.6166666666666667
Left,10,8,uniform,euclidean,0.6401673640167364,0.6
