band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
15,40,10.0,2,1.0,0.525
15,100,10.0,2,1.0,0.5166666666666667
15,40,10.0,10,0.9916317991631799,0.5083333333333333
15,30,40.0,2,1.0,0.5083333333333333
15,30,,2,1.0,0.5083333333333333
15,60,10.0,5,1.0,0.5083333333333333
15,30,20.0,2,1.0,0.5083333333333333
15,30,30.0,2,1.0,0.5083333333333333
15,40,40.0,5,1.0,0.5083333333333333
15,40,30.0,5,1.0,0.5083333333333333
15,40,,5,1.0,0.5083333333333333
15,40,20.0,5,1.0,0.5083333333333333
15,80,10.0,10,1.0,0.5
15,80,20.0,2,1.0,0.5
15,50,20.0,2,1.0,0.5
15,100,,2,1.0,0.5
15,80,30.0,2,1.0,0.5
15,30,10.0,2,0.997907949790795,0.5
15,80,,2,1.0,0.5
15,50,,2,1.0,0.5
15,80,40.0,2,1.0,0.5
15,90,10.0,10,0.997907949790795,0.5
15,50,10.0,2,1.0,0.5
15,100,10.0,10,0.997907949790795,0.5
15,90,30.0,5,1.0,0.5
15,10,30.0,10,0.9456066945606695,0.5
15,100,30.0,2,1.0,0.5
15,10,,10,0.9456066945606695,0.5
15,60,30.0,5,1.0,0.5
15,100,40.0,2,1.0,0.5
15,90,,5,1.0,0.5
15,60,40.0,5,1.0,0.5
15,10,20.0,10,0.9456066945606695,0.5
15,60,20.0,5,1.0,0.5
15,90,40.0,5,1.0,0.5
15,100,20.0,2,1.0,0.5
15,50,10.0,10,0.9937238493723849,0.5
15,10,40.0,10,0.9456066945606695,0.5
15,60,,5,1.0,0.5
15,90,20.0,5,1.0,0.5
15,50,40.0,2,1.0,0.5
15,50,30.0,2,1.0,0.5
15,60,10.0,10,0.99581589958159,0.49166666666666664
15,90,10.0,5,0.997907949790795,0.49166666666666664
15,60,10.0,2,1.0,0.49166666666666664
15,40,40.0,2,1.0,0.49166666666666664
15,90,40.0,2,1.0,0.49166666666666664
15,10,,5,0.9874476987447699,0.49166666666666664
15,40,30.0,2,1.0,0.49166666666666664
15,90,20.0,2,1.0,0.49166666666666664
15,40,20.0,2,1.0,0.49166666666666664
15,80,10.0,5,1.0,0.49166666666666664
15,80,,5,1.0,0.49166666666666664
15,20,20.0,5,0.99581589958159,0.49166666666666664
15,100,40.0,5,1.0,0.49166666666666664
15,90,,2,1.0,0.49166666666666664
15,10,20.0,5,0.9874476987447699,0.49166666666666664
15,100,30.0,5,1.0,0.49166666666666664
15,10,30.0,5,0.9874476987447699,0.49166666666666664
15,10,40.0,5,0.9874476987447699,0.49166666666666664
15,20,,2,1.0,0.49166666666666664
15,20,,5,0.99581589958159,0.49166666666666664
15,80,40.0,5,1.0,0.49166666666666664
15,100,20.0,5,1.0,0.49166666666666664
15,20,10.0,5,0.99581589958159,0.49166666666666664
15,20,10.0,10,0.9790794979079498,0.49166666666666664
15,20,20.0,2,1.0,0.49166666666666664
15,20,30.0,2,1.0,0.49166666666666664
15,80,30.0,5,1.0,0.49166666666666664
15,40,,2,1.0,0.49166666666666664
15,90,30.0,2,1.0,0.49166666666666664
15,20,30.0,5,0.99581589958159,0.49166666666666664
15,100,,5,1.0,0.49166666666666664
15,80,20.0,5,1.0,0.49166666666666664
15,20,40.0,2,1.0,0.49166666666666664
15,20,40.0,5,0.99581589958159,0.49166666666666664
15,30,10.0,5,0.99581589958159,0.49166666666666664
15,70,40.0,5,1.0,0.48333333333333334
15,90,20.0,10,1.0,0.48333333333333334
15,70,30.0,5,1.0,0.48333333333333334
15,70,10.0,10,0.997907949790795,0.48333333333333334
15,70,20.0,5,1.0,0.48333333333333334
15,70,,5,1.0,0.48333333333333334
15,70,10.0,2,1.0,0.48333333333333334
15,70,10.0,5,1.0,0.48333333333333334
15,80,10.0,2,1.0,0.48333333333333334
15,100,40.0,10,1.0,0.48333333333333334
15,50,,5,1.0,0.48333333333333334
15,90,30.0,10,1.0,0.48333333333333334
15,50,,10,1.0,0.48333333333333334
15,100,30.0,10,1.0,0.48333333333333334
15,100,20.0,10,1.0,0.48333333333333334
15,100,10.0,5,0.997907949790795,0.48333333333333334
15,30,10.0,10,0.9916317991631799,0.48333333333333334
15,100,,10,1.0,0.48333333333333334
15,90,40.0,10,1.0,0.48333333333333334
15,90,,10,1.0,0.48333333333333334
15,50,30.0,5,1.0,0.48333333333333334
15,50,20.0,5,1.0,0.48333333333333334
15,50,40.0,10,1.0,0.48333333333333334
15,50,40.0,5,1.0,0.48333333333333334
15,50,20.0,10,1.0,0.48333333333333334
15,50,30.0,10,1.0,0.48333333333333334
15,50,10.0,5,1.0,0.475
15,10,10.0,10,0.9351464435146444,0.475
15,80,40.0,10,1.0,0.475
15,70,,10,1.0,0.475
15,80,30.0,10,1.0,0.475
15,30,,5,1.0,0.475
15,80,20.0,10,1.0,0.475
15,30,20.0,5,1.0,0.475
15,30,30.0,5,1.0,0.475
15,70,20.0,10,1.0,0.475
15,30,40.0,5,1.0,0.475
15,40,,10,1.0,0.475
15,80,,10,1.0,0.475
15,40,10.0,5,1.0,0.475
15,70,40.0,10,1.0,0.475
15,40,30.0,10,1.0,0.475
15,40,40.0,10,1.0,0.475
15,70,30.0,10,1.0,0.475
15,90,10.0,2,1.0,0.475
15,40,20.0,10,1.0,0.475
15,60,,2,1.0,0.4666666666666667
15,70,40.0,2,1.0,0.4666666666666667
15,70,20.0,2,1.0,0.4666666666666667
15,70,,2,1.0,0.4666666666666667
15,60,40.0,2,1.0,0.4666666666666667
15,60,30.0,2,1.0,0.4666666666666667
15,60,20.0,2,1.0,0.4666666666666667
15,70,30.0,2,1.0,0.4666666666666667
15,20,40.0,10,0.9874476987447699,0.4583333333333333
15,10,20.0,2,0.9811715481171548,0.4583333333333333
15,10,30.0,2,0.9811715481171548,0.4583333333333333
15,10,40.0,2,0.9811715481171548,0.4583333333333333
15,20,,10,0.9874476987447699,0.4583333333333333
15,20,20.0,10,0.9874476987447699,0.4583333333333333
15,20,30.0,10,0.9874476987447699,0.4583333333333333
15,10,,2,0.9811715481171548,0.4583333333333333
15,30,,10,0.99581589958159,0.45
15,30,30.0,10,0.99581589958159,0.45
15,30,40.0,10,0.99581589958159,0.45
15,30,20.0,10,0.99581589958159,0.45
15,20,10.0,2,0.9937238493723849,0.44166666666666665
15,10,10.0,2,0.9602510460251046,0.44166666666666665
15,60,,10,0.997907949790795,0.43333333333333335
15,60,20.0,10,0.997907949790795,0.43333333333333335
15,60,30.0,10,0.997907949790795,0.43333333333333335
15,60,40.0,10,0.997907949790795,0.43333333333333335
15,10,10.0,5,0.9748953974895398,0.425
