nbr_de_peak,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
100,50,20.0,10,0.9832635983263598,0.725
100,50,,10,0.9832635983263598,0.725
100,50,40.0,10,0.9832635983263598,0.725
100,50,30.0,10,0.9832635983263598,0.725
100,100,40.0,10,0.9853556485355649,0.7166666666666667
100,60,,10,0.9874476987447699,0.7166666666666667
100,100,,10,0.9853556485355649,0.7166666666666667
100,60,30.0,10,0.9874476987447699,0.7166666666666667
100,100,20.0,10,0.9853556485355649,0.7166666666666667
100,60,20.0,10,0.9874476987447699,0.7166666666666667
100,100,30.0,10,0.9853556485355649,0.7166666666666667
100,60,40.0,10,0.9874476987447699,0.7166666666666667
100,90,40.0,10,0.9895397489539749,0.7083333333333334
100,90,10.0,10,0.9853556485355649,0.7083333333333334
100,40,40.0,10,0.9832635983263598,0.7083333333333334
100,90,20.0,10,0.9895397489539749,0.7083333333333334
100,90,30.0,10,0.9895397489539749,0.7083333333333334
100,90,10.0,2,0.9937238493723849,0.7083333333333334
100,20,10.0,10,0.9623430962343096,0.7083333333333334
100,40,,10,0.9832635983263598,0.7083333333333334
100,90,,10,0.9895397489539749,0.7083333333333334
100,80,30.0,10,0.9853556485355649,0.7083333333333334
100,100,10.0,10,0.9811715481171548,0.7083333333333334
100,70,10.0,10,0.9811715481171548,0.7083333333333334
100,40,20.0,10,0.9832635983263598,0.7083333333333334
100,40,30.0,10,0.9832635983263598,0.7083333333333334
100,80,40.0,10,0.9853556485355649,0.7083333333333334
100,80,,10,0.9853556485355649,0.7083333333333334
100,80,20.0,10,0.9853556485355649,0.7083333333333334
100,60,10.0,10,0.9832635983263598,0.7
100,40,10.0,10,0.9748953974895398,0.7
100,60,,5,0.997907949790795,0.7
100,50,10.0,10,0.9769874476987448,0.7
100,20,40.0,10,0.9748953974895398,0.7
100,70,10.0,2,0.9937238493723849,0.7
100,60,20.0,5,0.997907949790795,0.7
100,100,10.0,5,0.9937238493723849,0.7
100,20,30.0,10,0.9748953974895398,0.7
100,60,30.0,5,0.997907949790795,0.7
100,20,20.0,10,0.9748953974895398,0.7
100,80,10.0,10,0.9811715481171548,0.7
100,100,10.0,2,0.9937238493723849,0.7
100,60,40.0,5,0.997907949790795,0.7
100,20,10.0,5,0.9916317991631799,0.7
100,20,,10,0.9748953974895398,0.7
100,70,30.0,10,0.9853556485355649,0.6916666666666667
100,60,10.0,5,0.9916317991631799,0.6916666666666667
100,70,40.0,10,0.9853556485355649,0.6916666666666667
100,70,20.0,10,0.9853556485355649,0.6916666666666667
100,80,,5,1.0,0.6916666666666667
100,50,,5,1.0,0.6916666666666667
100,50,30.0,5,1.0,0.6916666666666667
100,50,20.0,5,1.0,0.6916666666666667
100,70,,10,0.9853556485355649,0.6916666666666667
100,60,10.0,2,0.9937238493723849,0.6916666666666667
100,80,30.0,5,1.0,0.6916666666666667
100,50,40.0,5,1.0,0.6916666666666667
100,80,20.0,5,1.0,0.6916666666666667
100,80,40.0,5,1.0,0.6916666666666667
100,80,10.0,2,0.9937238493723849,0.6916666666666667
100,90,40.0,5,1.0,0.6916666666666667
100,10,10.0,5,0.9769874476987448,0.6916666666666667
100,100,,5,1.0,0.6916666666666667
100,30,,10,0.9748953974895398,0.6916666666666667
100,90,30.0,5,1.0,0.6916666666666667
100,100,30.0,5,1.0,0.6916666666666667
100,30,10.0,10,0.9686192468619247,0.6916666666666667
100,30,20.0,10,0.9748953974895398,0.6916666666666667
100,30,30.0,10,0.9748953974895398,0.6916666666666667
100,30,40.0,10,0.9748953974895398,0.6916666666666667
100,90,20.0,5,1.0,0.6916666666666667
100,100,20.0,5,1.0,0.6916666666666667
100,90,,5,1.0,0.6916666666666667
100,100,40.0,5,1.0,0.6916666666666667
100,20,40.0,5,0.997907949790795,0.6833333333333333
100,20,,5,0.997907949790795,0.6833333333333333
100,70,,5,1.0,0.6833333333333333
100,80,10.0,5,0.9916317991631799,0.6833333333333333
100,70,20.0,5,1.0,0.6833333333333333
100,20,20.0,5,0.997907949790795,0.6833333333333333
100,20,30.0,5,0.997907949790795,0.6833333333333333
100,40,10.0,2,0.997907949790795,0.6833333333333333
100,50,10.0,2,0.99581589958159,0.6833333333333333
100,50,10.0,5,0.9916317991631799,0.6833333333333333
100,70,10.0,5,0.9916317991631799,0.6833333333333333
100,70,40.0,5,1.0,0.6833333333333333
100,40,10.0,5,0.99581589958159,0.6833333333333333
100,70,30.0,5,1.0,0.6833333333333333
100,10,10.0,10,0.9330543933054394,0.675
100,70,30.0,2,1.0,0.675
100,100,40.0,2,1.0,0.675
100,100,30.0,2,1.0,0.675
100,70,40.0,2,1.0,0.675
100,70,20.0,2,1.0,0.675
100,40,40.0,5,0.997907949790795,0.675
100,100,20.0,2,1.0,0.675
100,70,,2,1.0,0.675
100,100,,2,1.0,0.675
100,40,30.0,5,0.997907949790795,0.675
100,90,40.0,2,1.0,0.675
100,90,30.0,2,1.0,0.675
100,90,20.0,2,1.0,0.675
100,90,10.0,5,0.9916317991631799,0.675
100,40,,5,0.997907949790795,0.675
100,40,20.0,5,0.997907949790795,0.675
100,90,,2,1.0,0.675
100,80,20.0,2,1.0,0.6666666666666666
100,80,30.0,2,1.0,0.6666666666666666
100,80,40.0,2,1.0,0.6666666666666666
100,60,,2,1.0,0.6666666666666666
100,80,,2,1.0,0.6666666666666666
100,30,40.0,5,0.997907949790795,0.6666666666666666
100,60,40.0,2,1.0,0.6666666666666666
100,30,10.0,5,0.9916317991631799,0.6666666666666666
100,30,20.0,5,0.997907949790795,0.6666666666666666
100,30,30.0,5,0.997907949790795,0.6666666666666666
100,30,,5,0.997907949790795,0.6666666666666666
100,60,20.0,2,1.0,0.6666666666666666
100,60,30.0,2,1.0,0.6666666666666666
100,50,20.0,2,1.0,0.6583333333333333
100,50,,2,1.0,0.6583333333333333
100,50,30.0,2,1.0,0.6583333333333333
100,50,40.0,2,1.0,0.6583333333333333
100,10,20.0,5,0.9811715481171548,0.6416666666666667
100,10,30.0,5,0.9811715481171548,0.6416666666666667
100,10,40.0,5,0.9811715481171548,0.6416666666666667
100,10,,5,0.9811715481171548,0.6416666666666667
100,10,,10,0.9393305439330544,0.6333333333333333
100,20,10.0,2,0.99581589958159,0.6333333333333333
100,10,30.0,10,0.9393305439330544,0.6333333333333333
100,10,40.0,10,0.9393305439330544,0.6333333333333333
100,10,20.0,10,0.9393305439330544,0.6333333333333333
100,30,10.0,2,0.99581589958159,0.6333333333333333
100,40,40.0,2,1.0,0.6333333333333333
100,40,30.0,2,1.0,0.6333333333333333
100,40,20.0,2,1.0,0.6333333333333333
100,40,,2,1.0,0.6333333333333333
100,30,40.0,2,1.0,0.625
100,30,,2,1.0,0.625
100,30,20.0,2,1.0,0.625
100,30,30.0,2,1.0,0.625
100,10,30.0,2,0.9874476987447699,0.6166666666666667
100,10,20.0,2,0.9874476987447699,0.6166666666666667
100,10,,2,0.9874476987447699,0.6166666666666667
100,10,40.0,2,0.9874476987447699,0.6166666666666667
100,20,30.0,2,1.0,0.6
100,20,,2,1.0,0.6
100,20,20.0,2,1.0,0.6
100,20,40.0,2,1.0,0.6
100,10,10.0,2,0.9874476987447699,0.5583333333333333
