band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
10,1,uniform,euclidean,1.0,0.9230769230769231
10,1,uniform,manhattan,1.0,0.9153846153846154
10,1,uniform,chebyshev,1.0,0.8923076923076924
10,1,uniform,minkowski,1.0,0.9230769230769231
10,1,distance,euclidean,1.0,0.9230769230769231
10,1,distance,manhattan,1.0,0.9153846153846154
10,1,distance,chebyshev,1.0,0.8923076923076924
10,1,distance,minkowski,1.0,0.9230769230769231
10,2,uniform,euclidean,0.9131274131274131,0.8769230769230769
10,2,uniform,manhattan,0.9420849420849421,0.9307692307692308
10,2,uniform,chebyshev,0.9111969111969112,0.8538461538461538
10,2,uniform,minkowski,0.9131274131274131,0.8769230769230769
10,2,distance,euclidean,1.0,0.9230769230769231
10,2,distance,manhattan,1.0,0.9153846153846154
10,2,distance,chebyshev,1.0,0.8923076923076924
10,2,distance,minkowski,1.0,0.9230769230769231
10,3,uniform,euclidean,0.9247104247104247,0.8923076923076924
10,3,uniform,manhattan,0.9459459459459459,0.9076923076923077
10,3,uniform,chebyshev,0.8918918918918919,0.8692307692307693
10,3,uniform,minkowski,0.9247104247104247,0.8923076923076924
10,3,distance,euclidean,1.0,0.9
10,3,distance,manhattan,1.0,0.9153846153846154
10,3,distance,chebyshev,1.0,0.8538461538461538
10,3,distance,minkowski,1.0,0.9
10,4,uniform,euclidean,0.9054054054054054,0.8923076923076924
10,4,uniform,manhattan,0.9324324324324325,0.9153846153846154
10,4,uniform,chebyshev,0.8764478764478765,0.8384615384615385
10,4,uniform,minkowski,0.9054054054054054,0.8923076923076924
10,4,distance,euclidean,1.0,0.9230769230769231
10,4,distance,manhattan,1.0,0.9153846153846154
10,4,distance,chebyshev,1.0,0.8692307692307693
10,4,distance,minkowski,1.0,0.9230769230769231
10,5,uniform,euclidean,0.9111969111969112,0.9076923076923077
10,5,uniform,manhattan,0.9266409266409267,0.9
10,5,uniform,chebyshev,0.8706563706563707,0.8692307692307693
10,5,uniform,minkowski,0.9111969111969112,0.9076923076923077
10,5,distance,euclidean,1.0,0.9153846153846154
10,5,distance,manhattan,1.0,0.9153846153846154
10,5,distance,chebyshev,1.0,0.8538461538461538
10,5,distance,minkowski,1.0,0.9153846153846154
10,6,uniform,euclidean,0.888030888030888,0.8769230769230769
10,6,uniform,manhattan,0.9015444015444015,0.8923076923076924
10,6,uniform,chebyshev,0.8532818532818532,0.8307692307692308
10,6,uniform,minkowski,0.888030888030888,0.8769230769230769
10,6,distance,euclidean,1.0,0.9307692307692308
10,6,distance,manhattan,1.0,0.8923076923076924
10,6,distance,chebyshev,1.0,0.8461538461538461
10,6,distance,minkowski,1.0,0.9307692307692308
10,7,uniform,euclidean,0.8803088803088803,0.8384615384615385
10,7,uniform,manhattan,0.8996138996138996,0.8692307692307693
10,7,uniform,chebyshev,0.8494208494208494,0.8076923076923077
10,7,uniform,minkowski,0.8803088803088803,0.8384615384615385
10,7,distance,euclidean,1.0,0.8846153846153846
10,7,distance,manhattan,1.0,0.9
10,7,distance,chebyshev,1.0,0.8461538461538461
10,7,distance,minkowski,1.0,0.8846153846153846
10,8,uniform,euclidean,0.8667953667953668,0.8153846153846154
10,8,uniform,manhattan,0.8918918918918919,0.8461538461538461
10,8,uniform,chebyshev,0.8455598455598455,0.7923076923076923
10,8,uniform,minkowski,0.8667953667953668,0.8153846153846154
10,8,distance,euclidean,1.0,0.8692307692307693
10,8,distance,manhattan,1.0,0.9
10,8,distance,chebyshev,1.0,0.8615384615384616
10,8,distance,minkowski,1.0,0.8692307692307693
10,9,uniform,euclidean,0.8513513513513513,0.8615384615384616
10,9,uniform,manhattan,0.8745173745173745,0.8615384615384616
10,9,uniform,chebyshev,0.8301158301158301,0.8153846153846154
10,9,uniform,minkowski,0.8513513513513513,0.8615384615384616
10,9,distance,euclidean,1.0,0.8769230769230769
10,9,distance,manhattan,1.0,0.9
10,9,distance,chebyshev,1.0,0.8461538461538461
10,9,distance,minkowski,1.0,0.8769230769230769
10,10,uniform,euclidean,0.8532818532818532,0.8384615384615385
10,10,uniform,manhattan,0.8725868725868726,0.8769230769230769
10,10,uniform,chebyshev,0.8185328185328186,0.7692307692307693
10,10,uniform,minkowski,0.8532818532818532,0.8384615384615385
10,10,distance,euclidean,1.0,0.8923076923076924
10,10,distance,manhattan,1.0,0.9
10,10,distance,chebyshev,1.0,0.8461538461538461
10,10,distance,minkowski,1.0,0.8923076923076924
10,11,uniform,euclidean,0.8455598455598455,0.8692307692307693
10,11,uniform,manhattan,0.859073359073359,0.8769230769230769
10,11,uniform,chebyshev,0.8243243243243243,0.7769230769230769
10,11,uniform,minkowski,0.8455598455598455,0.8692307692307693
10,11,distance,euclidean,1.0,0.8692307692307693
10,11,distance,manhattan,1.0,0.9230769230769231
10,11,distance,chebyshev,1.0,0.8461538461538461
10,11,distance,minkowski,1.0,0.8692307692307693
10,12,uniform,euclidean,0.8359073359073359,0.8692307692307693
10,12,uniform,manhattan,0.8571428571428571,0.8846153846153846
10,12,uniform,chebyshev,0.8146718146718147,0.7538461538461538
10,12,uniform,minkowski,0.8359073359073359,0.8692307692307693
10,12,distance,euclidean,1.0,0.9
10,12,distance,manhattan,1.0,0.9230769230769231
10,12,distance,chebyshev,1.0,0.823076923076923
10,12,distance,minkowski,1.0,0.9
10,13,uniform,euclidean,0.8146718146718147,0.8769230769230769
10,13,uniform,manhattan,0.8436293436293436,0.8769230769230769
10,13,uniform,chebyshev,0.8011583011583011,0.7923076923076923
10,13,uniform,minkowski,0.8146718146718147,0.8769230769230769
10,13,distance,euclidean,1.0,0.8923076923076924
10,13,distance,manhattan,1.0,0.9153846153846154
10,13,distance,chebyshev,1.0,0.8384615384615385
10,13,distance,minkowski,1.0,0.8923076923076924
