band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
20,2,distance,manhattan,1.0,0.704
20,1,uniform,manhattan,1.0,0.704
20,1,distance,manhattan,1.0,0.704
100,3,distance,chebyshev,1.0,0.696
20,3,distance,manhattan,1.0,0.696
20,1,distance,chebyshev,1.0,0.688
20,2,distance,chebyshev,1.0,0.688
20,1,uniform,chebyshev,1.0,0.688
10,1,uniform,chebyshev,1.0,0.68
100,3,distance,minkowski,1.0,0.68
10,1,distance,chebyshev,1.0,0.68
100,3,distance,manhattan,1.0,0.68
100,3,distance,euclidean,1.0,0.68
10,2,distance,chebyshev,1.0,0.68
100,2,distance,euclidean,1.0,0.672
100,1,uniform,euclidean,1.0,0.672
100,2,distance,minkowski,1.0,0.672
100,1,uniform,manhattan,1.0,0.672
100,1,uniform,minkowski,1.0,0.672
100,1,distance,euclidean,1.0,0.672
100,1,distance,manhattan,1.0,0.672
100,1,distance,minkowski,1.0,0.672
100,2,distance,manhattan,1.0,0.672
20,4,distance,manhattan,1.0,0.672
10,1,uniform,euclidean,1.0,0.664
10,1,uniform,minkowski,1.0,0.664
10,1,distance,euclidean,1.0,0.664
10,1,distance,minkowski,1.0,0.664
10,2,distance,euclidean,1.0,0.664
20,3,uniform,manhattan,0.7715430861723447,0.664
10,2,distance,minkowski,1.0,0.664
40,2,distance,minkowski,1.0,0.656
20,3,distance,minkowski,1.0,0.656
100,1,distance,chebyshev,1.0,0.656
20,1,uniform,euclidean,1.0,0.656
20,1,uniform,minkowski,1.0,0.656
100,1,uniform,chebyshev,1.0,0.656
20,1,distance,euclidean,1.0,0.656
100,2,distance,chebyshev,1.0,0.656
100,3,uniform,chebyshev,0.7855711422845691,0.656
40,1,distance,minkowski,1.0,0.656
20,1,distance,minkowski,1.0,0.656
20,2,distance,euclidean,1.0,0.656
20,2,distance,minkowski,1.0,0.656
100,4,distance,euclidean,1.0,0.656
100,4,distance,manhattan,1.0,0.656
40,1,uniform,euclidean,1.0,0.656
100,4,distance,minkowski,1.0,0.656
40,1,uniform,minkowski,1.0,0.656
40,1,distance,euclidean,1.0,0.656
20,3,distance,euclidean,1.0,0.656
100,2,uniform,chebyshev,0.7955911823647295,0.656
40,2,distance,euclidean,1.0,0.656
100,3,uniform,manhattan,0.8016032064128257,0.648
100,3,uniform,euclidean,0.8056112224448898,0.648
100,4,distance,chebyshev,1.0,0.648
100,3,uniform,minkowski,0.8056112224448898,0.648
100,2,uniform,minkowski,0.7935871743486974,0.648
40,2,distance,chebyshev,1.0,0.648
10,2,distance,manhattan,1.0,0.648
100,2,uniform,euclidean,0.7935871743486974,0.648
10,1,distance,manhattan,1.0,0.648
40,1,uniform,chebyshev,1.0,0.648
40,1,distance,chebyshev,1.0,0.648
100,2,uniform,manhattan,0.7995991983967936,0.648
10,1,uniform,manhattan,1.0,0.648
20,11,distance,chebyshev,1.0,0.64
100,5,distance,chebyshev,1.0,0.64
100,8,distance,chebyshev,1.0,0.64
100,8,distance,minkowski,1.0,0.64
20,5,distance,manhattan,1.0,0.64
20,3,uniform,euclidean,0.7855711422845691,0.64
30,12,distance,manhattan,1.0,0.64
20,10,distance,manhattan,1.0,0.64
90,15,distance,chebyshev,1.0,0.64
90,17,distance,chebyshev,1.0,0.64
20,15,distance,chebyshev,1.0,0.64
10,2,uniform,manhattan,0.7875751503006012,0.64
20,3,uniform,minkowski,0.7855711422845691,0.64
100,15,distance,chebyshev,1.0,0.64
20,4,uniform,manhattan,0.7034068136272545,0.64
100,8,distance,euclidean,1.0,0.64
40,3,distance,euclidean,1.0,0.632
100,20,distance,minkowski,1.0,0.632
40,3,distance,chebyshev,1.0,0.632
40,3,distance,minkowski,1.0,0.632
90,2,uniform,chebyshev,0.7895791583166333,0.632
40,3,uniform,minkowski,0.7695390781563126,0.632
20,2,uniform,manhattan,0.779559118236473,0.632
80,2,uniform,euclidean,0.7995991983967936,0.632
60,2,distance,chebyshev,1.0,0.632
60,1,distance,chebyshev,1.0,0.632
60,1,uniform,chebyshev,1.0,0.632
100,17,distance,chebyshev,1.0,0.632
80,2,uniform,minkowski,0.7995991983967936,0.632
20,6,distance,manhattan,1.0,0.632
40,3,uniform,euclidean,0.7695390781563126,0.632
20,4,distance,euclidean,1.0,0.632
30,1,uniform,euclidean,1.0,0.632
30,1,uniform,minkowski,1.0,0.632
30,1,distance,euclidean,1.0,0.632
