n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,1.0
1,uniform,manhattan,1.0,1.0
1,uniform,chebyshev,1.0,0.992
1,uniform,minkowski,1.0,1.0
1,distance,euclidean,1.0,1.0
1,distance,manhattan,1.0,1.0
1,distance,chebyshev,1.0,0.992
1,distance,minkowski,1.0,1.0
2,uniform,euclidean,0.9919839679358717,1.0
2,uniform,manhattan,0.9899799599198397,1.0
2,uniform,chebyshev,0.9879759519038076,1.0
2,uniform,minkowski,0.9919839679358717,1.0
2,distance,euclidean,1.0,1.0
2,distance,manhattan,1.0,1.0
2,distance,chebyshev,1.0,0.992
2,distance,minkowski,1.0,1.0
3,uniform,euclidean,0.9939879759519038,0.976
3,uniform,manhattan,0.9919839679358717,0.976
3,uniform,chebyshev,0.9839679358717435,0.976
3,uniform,minkowski,0.9939879759519038,0.976
3,distance,euclidean,1.0,0.976
3,distance,manhattan,1.0,0.976
3,distance,chebyshev,1.0,0.984
3,distance,minkowski,1.0,0.976
4,uniform,euclidean,0.9899799599198397,0.976
4,uniform,manhattan,0.9859719438877755,0.984
4,uniform,chebyshev,0.9839679358717435,0.968
4,uniform,minkowski,0.9899799599198397,0.976
4,distance,euclidean,1.0,0.976
4,distance,manhattan,1.0,0.984
4,distance,chebyshev,1.0,0.976
4,distance,minkowski,1.0,0.976
5,uniform,euclidean,0.9859719438877755,0.976
5,uniform,manhattan,0.9879759519038076,0.968
5,uniform,chebyshev,0.969939879759519,0.976
5,uniform,minkowski,0.9859719438877755,0.976
5,distance,euclidean,1.0,0.976
5,distance,manhattan,1.0,0.976
5,distance,chebyshev,1.0,0.976
5,distance,minkowski,1.0,0.976
6,uniform,euclidean,0.9799599198396793,0.976
6,uniform,manhattan,0.9839679358717435,0.984
6,uniform,chebyshev,0.969939879759519,0.976
6,uniform,minkowski,0.9799599198396793,0.976
6,distance,euclidean,1.0,0.976
6,distance,manhattan,1.0,0.984
6,distance,chebyshev,1.0,0.976
6,distance,minkowski,1.0,0.976
7,uniform,euclidean,0.969939879759519,0.976
7,uniform,manhattan,0.9739478957915831,0.96
7,uniform,chebyshev,0.9539078156312625,0.96
7,uniform,minkowski,0.969939879759519,0.976
7,distance,euclidean,1.0,0.976
7,distance,manhattan,1.0,0.976
7,distance,chebyshev,1.0,0.968
7,distance,minkowski,1.0,0.976
8,uniform,euclidean,0.9719438877755511,0.976
8,uniform,manhattan,0.9759519038076152,0.96
8,uniform,chebyshev,0.9498997995991983,0.944
8,uniform,minkowski,0.9719438877755511,0.976
8,distance,euclidean,1.0,0.976
8,distance,manhattan,1.0,0.968
8,distance,chebyshev,1.0,0.96
8,distance,minkowski,1.0,0.976
9,uniform,euclidean,0.9619238476953907,0.96
9,uniform,manhattan,0.9559118236472945,0.952
9,uniform,chebyshev,0.935871743486974,0.912
9,uniform,minkowski,0.9619238476953907,0.96
9,distance,euclidean,1.0,0.976
9,distance,manhattan,1.0,0.96
9,distance,chebyshev,1.0,0.952
9,distance,minkowski,1.0,0.976
10,uniform,euclidean,0.9579158316633266,0.96
10,uniform,manhattan,0.9579158316633266,0.96
10,uniform,chebyshev,0.9338677354709419,0.928
10,uniform,minkowski,0.9579158316633266,0.96
10,distance,euclidean,1.0,0.968
10,distance,manhattan,1.0,0.96
10,distance,chebyshev,1.0,0.952
10,distance,minkowski,1.0,0.968
11,uniform,euclidean,0.9498997995991983,0.96
11,uniform,manhattan,0.9519038076152304,0.952
11,uniform,chebyshev,0.9258517034068137,0.904
11,uniform,minkowski,0.9498997995991983,0.96
11,distance,euclidean,1.0,0.968
11,distance,manhattan,1.0,0.952
11,distance,chebyshev,1.0,0.96
11,distance,minkowski,1.0,0.968
12,uniform,euclidean,0.9498997995991983,0.968
12,uniform,manhattan,0.9478957915831663,0.96
12,uniform,chebyshev,0.9178356713426854,0.928
12,uniform,minkowski,0.9498997995991983,0.968
12,distance,euclidean,1.0,0.968
12,distance,manhattan,1.0,0.952
12,distance,chebyshev,1.0,0.952
12,distance,minkowski,1.0,0.968
13,uniform,euclidean,0.9438877755511023,0.952
13,uniform,manhattan,0.9418837675350702,0.944
13,uniform,chebyshev,0.9118236472945892,0.92
13,uniform,minkowski,0.9438877755511023,0.952
13,distance,euclidean,1.0,0.968
13,distance,manhattan,1.0,0.952
13,distance,chebyshev,1.0,0.952
13,distance,minkowski,1.0,0.968
14,uniform,euclidean,0.9478957915831663,0.96
14,uniform,manhattan,0.9378757515030061,0.936
14,uniform,chebyshev,0.9118236472945892,0.92
14,uniform,minkowski,0.9478957915831663,0.96
14,distance,euclidean,1.0,0.968
14,distance,manhattan,1.0,0.944
14,distance,chebyshev,1.0,0.944
14,distance,minkowski,1.0,0.968
15,uniform,euclidean,0.9398797595190381,0.944
15,uniform,manhattan,0.9378757515030061,0.936
15,uniform,chebyshev,0.9078156312625251,0.896
15,uniform,minkowski,0.9398797595190381,0.944
15,distance,euclidean,1.0,0.96
15,distance,manhattan,1.0,0.944
15,distance,chebyshev,1.0,0.952
15,distance,minkowski,1.0,0.96
16,uniform,euclidean,0.9258517034068137,0.912
16,uniform,manhattan,0.9198396793587175,0.928
16,uniform,chebyshev,0.8957915831663327,0.888
16,uniform,minkowski,0.9258517034068137,0.912
16,distance,euclidean,1.0,0.968
16,distance,manhattan,1.0,0.944
16,distance,chebyshev,1.0,0.936
16,distance,minkowski,1.0,0.968
17,uniform,euclidean,0.905811623246493,0.912
17,uniform,manhattan,0.9178356713426854,0.928
17,uniform,chebyshev,0.8937875751503006,0.872
17,uniform,minkowski,0.905811623246493,0.912
17,distance,euclidean,1.0,0.968
17,distance,manhattan,1.0,0.952
17,distance,chebyshev,1.0,0.936
17,distance,minkowski,1.0,0.968
18,uniform,euclidean,0.9138276553106213,0.912
18,uniform,manhattan,0.9198396793587175,0.92
18,uniform,chebyshev,0.8917835671342685,0.856
18,uniform,minkowski,0.9138276553106213,0.912
18,distance,euclidean,1.0,0.968
18,distance,manhattan,1.0,0.952
18,distance,chebyshev,1.0,0.912
