n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.848
1,uniform,manhattan,1.0,0.88
1,uniform,chebyshev,1.0,0.824
1,uniform,minkowski,1.0,0.848
1,distance,euclidean,1.0,0.848
1,distance,manhattan,1.0,0.88
1,distance,chebyshev,1.0,0.824
1,distance,minkowski,1.0,0.848
2,uniform,euclidean,0.9178356713426854,0.864
2,uniform,manhattan,0.9178356713426854,0.872
2,uniform,chebyshev,0.9018036072144289,0.832
2,uniform,minkowski,0.9178356713426854,0.864
2,distance,euclidean,1.0,0.848
2,distance,manhattan,1.0,0.88
2,distance,chebyshev,1.0,0.824
2,distance,minkowski,1.0,0.848
3,uniform,euclidean,0.8957915831663327,0.824
3,uniform,manhattan,0.9158316633266533,0.84
3,uniform,chebyshev,0.8877755511022044,0.808
3,uniform,minkowski,0.8957915831663327,0.824
3,distance,euclidean,1.0,0.84
3,distance,manhattan,1.0,0.84
3,distance,chebyshev,1.0,0.816
3,distance,minkowski,1.0,0.84
4,uniform,euclidean,0.875751503006012,0.824
4,uniform,manhattan,0.8897795591182365,0.856
4,uniform,chebyshev,0.8717434869739479,0.784
4,uniform,minkowski,0.875751503006012,0.824
4,distance,euclidean,1.0,0.84
4,distance,manhattan,1.0,0.856
4,distance,chebyshev,1.0,0.808
4,distance,minkowski,1.0,0.84
5,uniform,euclidean,0.8917835671342685,0.808
5,uniform,manhattan,0.8857715430861723,0.824
5,uniform,chebyshev,0.8697394789579158,0.768
5,uniform,minkowski,0.8917835671342685,0.808
5,distance,euclidean,1.0,0.816
5,distance,manhattan,1.0,0.832
5,distance,chebyshev,1.0,0.816
5,distance,minkowski,1.0,0.816
6,uniform,euclidean,0.8897795591182365,0.832
6,uniform,manhattan,0.8797595190380761,0.824
6,uniform,chebyshev,0.8577154308617234,0.784
6,uniform,minkowski,0.8897795591182365,0.832
6,distance,euclidean,1.0,0.832
6,distance,manhattan,1.0,0.848
6,distance,chebyshev,1.0,0.8
6,distance,minkowski,1.0,0.832
7,uniform,euclidean,0.8597194388777555,0.808
7,uniform,manhattan,0.8717434869739479,0.84
7,uniform,chebyshev,0.8316633266533067,0.8
7,uniform,minkowski,0.8597194388777555,0.808
7,distance,euclidean,1.0,0.84
7,distance,manhattan,1.0,0.848
