n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.7846153846153846
1,uniform,manhattan,1.0,0.7846153846153846
1,uniform,chebyshev,1.0,0.7384615384615385
1,uniform,minkowski,1.0,0.7846153846153846
1,distance,euclidean,1.0,0.7846153846153846
1,distance,manhattan,1.0,0.7846153846153846
1,distance,chebyshev,1.0,0.7384615384615385
1,distance,minkowski,1.0,0.7846153846153846
2,uniform,euclidean,0.9305019305019305,0.7538461538461538
2,uniform,manhattan,0.9343629343629344,0.7692307692307693
2,uniform,chebyshev,0.9034749034749034,0.7461538461538462
2,uniform,minkowski,0.9305019305019305,0.7538461538461538
2,distance,euclidean,1.0,0.7846153846153846
2,distance,manhattan,1.0,0.7846153846153846
2,distance,chebyshev,1.0,0.7384615384615385
2,distance,minkowski,1.0,0.7846153846153846
3,uniform,euclidean,0.916988416988417,0.7846153846153846
3,uniform,manhattan,0.918918918918919,0.7769230769230769
3,uniform,chebyshev,0.88996138996139,0.7307692307692307
3,uniform,minkowski,0.916988416988417,0.7846153846153846
3,distance,euclidean,1.0,0.7846153846153846
3,distance,manhattan,1.0,0.7769230769230769
3,distance,chebyshev,1.0,0.7384615384615385
3,distance,minkowski,1.0,0.7846153846153846
4,uniform,euclidean,0.8725868725868726,0.7461538461538462
4,uniform,manhattan,0.8918918918918919,0.7769230769230769
4,uniform,chebyshev,0.8513513513513513,0.7307692307692307
4,uniform,minkowski,0.8725868725868726,0.7461538461538462
4,distance,euclidean,1.0,0.7769230769230769
4,distance,manhattan,1.0,0.7923076923076923
4,distance,chebyshev,1.0,0.7384615384615385
4,distance,minkowski,1.0,0.7769230769230769
5,uniform,euclidean,0.8648648648648649,0.7384615384615385
5,uniform,manhattan,0.8861003861003861,0.8
5,uniform,chebyshev,0.8397683397683398,0.7615384615384615
5,uniform,minkowski,0.8648648648648649,0.7384615384615385
5,distance,euclidean,1.0,0.7384615384615385
5,distance,manhattan,1.0,0.8
5,distance,chebyshev,1.0,0.7615384615384615
5,distance,minkowski,1.0,0.7384615384615385
6,uniform,euclidean,0.832046332046332,0.7230769230769231
6,uniform,manhattan,0.859073359073359,0.8
6,uniform,chebyshev,0.8281853281853282,0.7153846153846154
6,uniform,minkowski,0.832046332046332,0.7230769230769231
6,distance,euclidean,1.0,0.7692307692307693
6,distance,manhattan,1.0,0.823076923076923
6,distance,chebyshev,1.0,0.7461538461538462
6,distance,minkowski,1.0,0.7692307692307693
7,uniform,euclidean,0.8378378378378378,0.7153846153846154
7,uniform,manhattan,0.861003861003861,0.7538461538461538
7,uniform,chebyshev,0.803088803088803,0.7384615384615385
7,uniform,minkowski,0.8378378378378378,0.7153846153846154
7,distance,euclidean,1.0,0.7076923076923077
7,distance,manhattan,1.0,0.7615384615384615
7,distance,chebyshev,1.0,0.7384615384615385
7,distance,minkowski,1.0,0.7076923076923077
8,uniform,euclidean,0.8281853281853282,0.7461538461538462
8,uniform,manhattan,0.8397683397683398,0.7461538461538462
8,uniform,chebyshev,0.7972972972972973,0.6923076923076923
8,uniform,minkowski,0.8281853281853282,0.7461538461538462
8,distance,euclidean,1.0,0.7692307692307693
8,distance,manhattan,1.0,0.7769230769230769
8,distance,chebyshev,1.0,0.7384615384615385
8,distance,minkowski,1.0,0.7692307692307693
9,uniform,euclidean,0.8301158301158301,0.7615384615384615
9,uniform,manhattan,0.8204633204633205,0.7461538461538462
9,uniform,chebyshev,0.805019305019305,0.7307692307692307
9,uniform,minkowski,0.8301158301158301,0.7615384615384615
9,distance,euclidean,1.0,0.7461538461538462
9,distance,manhattan,1.0,0.7461538461538462
9,distance,chebyshev,1.0,0.7384615384615385
9,distance,minkowski,1.0,0.7461538461538462
10,uniform,euclidean,0.8011583011583011,0.7461538461538462
10,uniform,manhattan,0.8204633204633205,0.7461538461538462
10,uniform,chebyshev,0.7818532818532818,0.7230769230769231
10,uniform,minkowski,0.8011583011583011,0.7461538461538462
10,distance,euclidean,1.0,0.7538461538461538
10,distance,manhattan,1.0,0.7615384615384615
10,distance,chebyshev,1.0,0.7461538461538462
10,distance,minkowski,1.0,0.7538461538461538
11,uniform,euclidean,0.803088803088803,0.7923076923076923
11,uniform,manhattan,0.8127413127413128,0.7307692307692307
11,uniform,chebyshev,0.777992277992278,0.7538461538461538
11,uniform,minkowski,0.803088803088803,0.7923076923076923
11,distance,euclidean,1.0,0.7615384615384615
11,distance,manhattan,1.0,0.7769230769230769
11,distance,chebyshev,1.0,0.7615384615384615
11,distance,minkowski,1.0,0.7615384615384615
12,uniform,euclidean,0.7915057915057915,0.7615384615384615
12,uniform,manhattan,0.8088803088803089,0.7153846153846154
12,uniform,chebyshev,0.7741312741312741,0.7769230769230769
12,uniform,minkowski,0.7915057915057915,0.7615384615384615
12,distance,euclidean,1.0,0.7769230769230769
12,distance,manhattan,1.0,0.7615384615384615
12,distance,chebyshev,1.0,0.7461538461538462
12,distance,minkowski,1.0,0.7769230769230769
13,uniform,euclidean,0.7799227799227799,0.7692307692307693
13,uniform,manhattan,0.8146718146718147,0.7307692307692307
13,uniform,chebyshev,0.7702702702702703,0.7153846153846154
13,uniform,minkowski,0.7799227799227799,0.7692307692307693
13,distance,euclidean,1.0,0.7615384615384615
13,distance,manhattan,1.0,0.7769230769230769
13,distance,chebyshev,1.0,0.7153846153846154
13,distance,minkowski,1.0,0.7615384615384615
14,uniform,euclidean,0.7876447876447876,0.7692307692307693
14,uniform,manhattan,0.7992277992277992,0.7384615384615385
14,uniform,chebyshev,0.7567567567567568,0.7384615384615385
14,uniform,minkowski,0.7876447876447876,0.7692307692307693
14,distance,euclidean,1.0,0.7769230769230769
14,distance,manhattan,1.0,0.7615384615384615
14,distance,chebyshev,1.0,0.7384615384615385
14,distance,minkowski,1.0,0.7769230769230769
15,uniform,euclidean,0.7837837837837838,0.7615384615384615
15,uniform,manhattan,0.7972972972972973,0.7615384615384615
15,uniform,chebyshev,0.747104247104247,0.7
15,uniform,minkowski,0.7837837837837838,0.7615384615384615
15,distance,euclidean,1.0,0.7615384615384615
15,distance,manhattan,1.0,0.7538461538461538
15,distance,chebyshev,1.0,0.7307692307692307
15,distance,minkowski,1.0,0.7615384615384615
16,uniform,euclidean,0.7799227799227799,0.7769230769230769
16,uniform,manhattan,0.7992277992277992,0.7230769230769231
16,uniform,chebyshev,0.7393822393822393,0.7230769230769231
16,uniform,minkowski,0.7799227799227799,0.7769230769230769
16,distance,euclidean,1.0,0.7846153846153846
16,distance,manhattan,1.0,0.7692307692307693
16,distance,chebyshev,1.0,0.7384615384615385
16,distance,minkowski,1.0,0.7846153846153846
17,uniform,euclidean,0.7741312741312741,0.7615384615384615
17,uniform,manhattan,0.7895752895752896,0.7538461538461538
17,uniform,chebyshev,0.7277992277992278,0.7
17,uniform,minkowski,0.7741312741312741,0.7615384615384615
17,distance,euclidean,1.0,0.7923076923076923
17,distance,manhattan,1.0,0.7538461538461538
17,distance,chebyshev,1.0,0.7307692307692307
17,distance,minkowski,1.0,0.7923076923076923
18,uniform,euclidean,0.7664092664092664,0.7615384615384615
18,uniform,manhattan,0.777992277992278,0.7461538461538462
18,uniform,chebyshev,0.7200772200772201,0.7076923076923077
18,uniform,minkowski,0.7664092664092664,0.7615384615384615
18,distance,euclidean,1.0,0.7846153846153846
18,distance,manhattan,1.0,0.7769230769230769
18,distance,chebyshev,1.0,0.7076923076923077
18,distance,minkowski,1.0,0.7846153846153846
19,uniform,euclidean,0.7722007722007722,0.7461538461538462
19,uniform,manhattan,0.7702702702702703,0.7307692307692307
19,uniform,chebyshev,0.7181467181467182,0.7
19,uniform,minkowski,0.7722007722007722,0.7461538461538462
19,distance,euclidean,1.0,0.7846153846153846
19,distance,manhattan,1.0,0.7461538461538462
19,distance,chebyshev,1.0,0.7153846153846154
19,distance,minkowski,1.0,0.7846153846153846
20,uniform,euclidean,0.7548262548262549,0.7384615384615385
