n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.8307692307692308
1,uniform,manhattan,1.0,0.823076923076923
1,uniform,chebyshev,1.0,0.8153846153846154
1,uniform,minkowski,1.0,0.8307692307692308
1,distance,euclidean,1.0,0.8307692307692308
1,distance,manhattan,1.0,0.823076923076923
1,distance,chebyshev,1.0,0.8153846153846154
1,distance,minkowski,1.0,0.8307692307692308
2,uniform,euclidean,0.944015444015444,0.7923076923076923
2,uniform,manhattan,0.9401544401544402,0.823076923076923
2,uniform,chebyshev,0.9343629343629344,0.7923076923076923
2,uniform,minkowski,0.944015444015444,0.7923076923076923
2,distance,euclidean,1.0,0.8307692307692308
2,distance,manhattan,1.0,0.823076923076923
2,distance,chebyshev,1.0,0.8153846153846154
2,distance,minkowski,1.0,0.8307692307692308
3,uniform,euclidean,0.9459459459459459,0.8076923076923077
3,uniform,manhattan,0.9498069498069498,0.8153846153846154
3,uniform,chebyshev,0.9266409266409267,0.7923076923076923
3,uniform,minkowski,0.9459459459459459,0.8076923076923077
3,distance,euclidean,1.0,0.8153846153846154
3,distance,manhattan,1.0,0.8153846153846154
3,distance,chebyshev,1.0,0.7923076923076923
3,distance,minkowski,1.0,0.8153846153846154
4,uniform,euclidean,0.9111969111969112,0.823076923076923
4,uniform,manhattan,0.9111969111969112,0.7923076923076923
4,uniform,chebyshev,0.88996138996139,0.823076923076923
4,uniform,minkowski,0.9111969111969112,0.823076923076923
4,distance,euclidean,1.0,0.8076923076923077
4,distance,manhattan,1.0,0.8076923076923077
4,distance,chebyshev,1.0,0.8076923076923077
4,distance,minkowski,1.0,0.8076923076923077
5,uniform,euclidean,0.8996138996138996,0.8307692307692308
5,uniform,manhattan,0.8841698841698842,0.7846153846153846
5,uniform,chebyshev,0.8822393822393823,0.7923076923076923
5,uniform,minkowski,0.8996138996138996,0.8307692307692308
5,distance,euclidean,1.0,0.8384615384615385
5,distance,manhattan,1.0,0.7846153846153846
5,distance,chebyshev,1.0,0.8
5,distance,minkowski,1.0,0.8384615384615385
6,uniform,euclidean,0.888030888030888,0.823076923076923
6,uniform,manhattan,0.8764478764478765,0.7923076923076923
6,uniform,chebyshev,0.8841698841698842,0.8076923076923077
6,uniform,minkowski,0.888030888030888,0.823076923076923
6,distance,euclidean,1.0,0.823076923076923
6,distance,manhattan,1.0,0.7923076923076923
6,distance,chebyshev,1.0,0.8
6,distance,minkowski,1.0,0.823076923076923
7,uniform,euclidean,0.8706563706563707,0.7923076923076923
7,uniform,manhattan,0.859073359073359,0.7923076923076923
7,uniform,chebyshev,0.861003861003861,0.7923076923076923
7,uniform,minkowski,0.8706563706563707,0.7923076923076923
7,distance,euclidean,1.0,0.8153846153846154
7,distance,manhattan,1.0,0.8076923076923077
7,distance,chebyshev,1.0,0.8076923076923077
7,distance,minkowski,1.0,0.8153846153846154
8,uniform,euclidean,0.8571428571428571,0.7923076923076923
8,uniform,manhattan,0.8532818532818532,0.7923076923076923
8,uniform,chebyshev,0.8532818532818532,0.8
8,uniform,minkowski,0.8571428571428571,0.7923076923076923
8,distance,euclidean,1.0,0.8076923076923077
8,distance,manhattan,1.0,0.8153846153846154
8,distance,chebyshev,1.0,0.8
8,distance,minkowski,1.0,0.8076923076923077
9,uniform,euclidean,0.8552123552123552,0.7923076923076923
9,uniform,manhattan,0.8532818532818532,0.7923076923076923
9,uniform,chebyshev,0.8436293436293436,0.7923076923076923
9,uniform,minkowski,0.8552123552123552,0.7923076923076923
9,distance,euclidean,1.0,0.8076923076923077
9,distance,manhattan,1.0,0.7923076923076923
9,distance,chebyshev,1.0,0.8
9,distance,minkowski,1.0,0.8076923076923077
10,uniform,euclidean,0.833976833976834,0.7923076923076923
10,uniform,manhattan,0.8359073359073359,0.7769230769230769
10,uniform,chebyshev,0.8301158301158301,0.7769230769230769
10,uniform,minkowski,0.833976833976834,0.7923076923076923
10,distance,euclidean,1.0,0.8
10,distance,manhattan,1.0,0.7923076923076923
10,distance,chebyshev,1.0,0.8
10,distance,minkowski,1.0,0.8
11,uniform,euclidean,0.8088803088803089,0.7923076923076923
11,uniform,manhattan,0.8166023166023166,0.7923076923076923
11,uniform,chebyshev,0.8243243243243243,0.7769230769230769
11,uniform,minkowski,0.8088803088803089,0.7923076923076923
11,distance,euclidean,1.0,0.8076923076923077
11,distance,manhattan,1.0,0.8
11,distance,chebyshev,1.0,0.8
11,distance,minkowski,1.0,0.8076923076923077
12,uniform,euclidean,0.803088803088803,0.7692307692307693
12,uniform,manhattan,0.8108108108108109,0.7769230769230769
12,uniform,chebyshev,0.803088803088803,0.7692307692307693
12,uniform,minkowski,0.803088803088803,0.7692307692307693
12,distance,euclidean,1.0,0.7846153846153846
12,distance,manhattan,1.0,0.8
12,distance,chebyshev,1.0,0.7923076923076923
12,distance,minkowski,1.0,0.7846153846153846
13,uniform,euclidean,0.7953667953667953,0.7615384615384615
13,uniform,manhattan,0.803088803088803,0.7461538461538462
13,uniform,chebyshev,0.7895752895752896,0.7153846153846154
13,uniform,minkowski,0.7953667953667953,0.7615384615384615
13,distance,euclidean,1.0,0.7923076923076923
13,distance,manhattan,1.0,0.7769230769230769
13,distance,chebyshev,1.0,0.7769230769230769
13,distance,minkowski,1.0,0.7923076923076923
14,uniform,euclidean,0.8011583011583011,0.7692307692307693
14,uniform,manhattan,0.8108108108108109,0.7692307692307693
14,uniform,chebyshev,0.7992277992277992,0.7538461538461538
14,uniform,minkowski,0.8011583011583011,0.7692307692307693
14,distance,euclidean,1.0,0.7846153846153846
14,distance,manhattan,1.0,0.7692307692307693
14,distance,chebyshev,1.0,0.7846153846153846
14,distance,minkowski,1.0,0.7846153846153846
15,uniform,euclidean,0.7876447876447876,0.7538461538461538
15,uniform,manhattan,0.8108108108108109,0.7615384615384615
15,uniform,chebyshev,0.7934362934362934,0.7384615384615385
15,uniform,minkowski,0.7876447876447876,0.7538461538461538
15,distance,euclidean,1.0,0.7769230769230769
15,distance,manhattan,1.0,0.7769230769230769
15,distance,chebyshev,1.0,0.7923076923076923
15,distance,minkowski,1.0,0.7769230769230769
16,uniform,euclidean,0.7972972972972973,0.7461538461538462
16,uniform,manhattan,0.8108108108108109,0.7538461538461538
16,uniform,chebyshev,0.7760617760617761,0.7384615384615385
16,uniform,minkowski,0.7972972972972973,0.7461538461538462
16,distance,euclidean,1.0,0.7769230769230769
16,distance,manhattan,1.0,0.7769230769230769
16,distance,chebyshev,1.0,0.7846153846153846
16,distance,minkowski,1.0,0.7769230769230769
17,uniform,euclidean,0.7741312741312741,0.7461538461538462
17,uniform,manhattan,0.7934362934362934,0.7538461538461538
17,uniform,chebyshev,0.7818532818532818,0.7230769230769231
17,uniform,minkowski,0.7741312741312741,0.7461538461538462
17,distance,euclidean,1.0,0.7769230769230769
17,distance,manhattan,1.0,0.7692307692307693
17,distance,chebyshev,1.0,0.7692307692307693
17,distance,minkowski,1.0,0.7769230769230769
18,uniform,euclidean,0.7760617760617761,0.7615384615384615
18,uniform,manhattan,0.7857142857142857,0.7846153846153846
