n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.9
1,uniform,manhattan,1.0,0.8846153846153846
1,uniform,chebyshev,1.0,0.8769230769230769
1,uniform,minkowski,1.0,0.9
1,distance,euclidean,1.0,0.9
1,distance,manhattan,1.0,0.8846153846153846
1,distance,chebyshev,1.0,0.8769230769230769
1,distance,minkowski,1.0,0.9
2,uniform,euclidean,0.972972972972973,0.8923076923076924
2,uniform,manhattan,0.9671814671814671,0.8692307692307693
2,uniform,chebyshev,0.971042471042471,0.8615384615384616
2,uniform,minkowski,0.972972972972973,0.8923076923076924
2,distance,euclidean,1.0,0.9
2,distance,manhattan,1.0,0.8846153846153846
2,distance,chebyshev,1.0,0.8769230769230769
2,distance,minkowski,1.0,0.9
3,uniform,euclidean,0.9498069498069498,0.8692307692307693
3,uniform,manhattan,0.9517374517374517,0.823076923076923
3,uniform,chebyshev,0.9401544401544402,0.8384615384615385
3,uniform,minkowski,0.9498069498069498,0.8692307692307693
3,distance,euclidean,1.0,0.8692307692307693
3,distance,manhattan,1.0,0.823076923076923
3,distance,chebyshev,1.0,0.8384615384615385
3,distance,minkowski,1.0,0.8692307692307693
4,uniform,euclidean,0.9343629343629344,0.8538461538461538
4,uniform,manhattan,0.9266409266409267,0.8461538461538461
4,uniform,chebyshev,0.9131274131274131,0.8692307692307693
4,uniform,minkowski,0.9343629343629344,0.8538461538461538
4,distance,euclidean,1.0,0.8692307692307693
4,distance,manhattan,1.0,0.8538461538461538
4,distance,chebyshev,1.0,0.8538461538461538
4,distance,minkowski,1.0,0.8692307692307693
5,uniform,euclidean,0.9111969111969112,0.8384615384615385
5,uniform,manhattan,0.9111969111969112,0.823076923076923
5,uniform,chebyshev,0.9073359073359073,0.8153846153846154
5,uniform,minkowski,0.9111969111969112,0.8384615384615385
5,distance,euclidean,1.0,0.8461538461538461
5,distance,manhattan,1.0,0.823076923076923
5,distance,chebyshev,1.0,0.823076923076923
5,distance,minkowski,1.0,0.8461538461538461
6,uniform,euclidean,0.9092664092664092,0.8384615384615385
6,uniform,manhattan,0.9073359073359073,0.8307692307692308
6,uniform,chebyshev,0.888030888030888,0.8153846153846154
6,uniform,minkowski,0.9092664092664092,0.8384615384615385
6,distance,euclidean,1.0,0.8461538461538461
6,distance,manhattan,1.0,0.8307692307692308
6,distance,chebyshev,1.0,0.8153846153846154
6,distance,minkowski,1.0,0.8461538461538461
7,uniform,euclidean,0.8957528957528957,0.823076923076923
7,uniform,manhattan,0.88996138996139,0.8153846153846154
7,uniform,chebyshev,0.8822393822393823,0.7923076923076923
7,uniform,minkowski,0.8957528957528957,0.823076923076923
7,distance,euclidean,1.0,0.8307692307692308
7,distance,manhattan,1.0,0.823076923076923
7,distance,chebyshev,1.0,0.8153846153846154
7,distance,minkowski,1.0,0.8307692307692308
8,uniform,euclidean,0.8957528957528957,0.823076923076923
8,uniform,manhattan,0.8957528957528957,0.823076923076923
8,uniform,chebyshev,0.8803088803088803,0.823076923076923
8,uniform,minkowski,0.8957528957528957,0.823076923076923
8,distance,euclidean,1.0,0.8384615384615385
8,distance,manhattan,1.0,0.823076923076923
8,distance,chebyshev,1.0,0.823076923076923
8,distance,minkowski,1.0,0.8384615384615385
9,uniform,euclidean,0.888030888030888,0.8153846153846154
9,uniform,manhattan,0.8803088803088803,0.7923076923076923
9,uniform,chebyshev,0.8803088803088803,0.8076923076923077
9,uniform,minkowski,0.888030888030888,0.8153846153846154
9,distance,euclidean,1.0,0.8307692307692308
9,distance,manhattan,1.0,0.8153846153846154
9,distance,chebyshev,1.0,0.823076923076923
9,distance,minkowski,1.0,0.8307692307692308
10,uniform,euclidean,0.8783783783783784,0.8153846153846154
10,uniform,manhattan,0.8764478764478765,0.8076923076923077
10,uniform,chebyshev,0.8648648648648649,0.7846153846153846
10,uniform,minkowski,0.8783783783783784,0.8153846153846154
10,distance,euclidean,1.0,0.8384615384615385
10,distance,manhattan,1.0,0.8384615384615385
10,distance,chebyshev,1.0,0.8
10,distance,minkowski,1.0,0.8384615384615385
11,uniform,euclidean,0.8552123552123552,0.8
11,uniform,manhattan,0.862934362934363,0.823076923076923
11,uniform,chebyshev,0.8455598455598455,0.8
11,uniform,minkowski,0.8552123552123552,0.8
11,distance,euclidean,1.0,0.8307692307692308
11,distance,manhattan,1.0,0.8307692307692308
11,distance,chebyshev,1.0,0.8153846153846154
11,distance,minkowski,1.0,0.8307692307692308
12,uniform,euclidean,0.859073359073359,0.8076923076923077
12,uniform,manhattan,0.8494208494208494,0.823076923076923
12,uniform,chebyshev,0.859073359073359,0.7769230769230769
12,uniform,minkowski,0.859073359073359,0.8076923076923077
12,distance,euclidean,1.0,0.823076923076923
12,distance,manhattan,1.0,0.8153846153846154
12,distance,chebyshev,1.0,0.8
12,distance,minkowski,1.0,0.823076923076923
13,uniform,euclidean,0.8455598455598455,0.8076923076923077
13,uniform,manhattan,0.8378378378378378,0.7769230769230769
13,uniform,chebyshev,0.8378378378378378,0.7538461538461538
13,uniform,minkowski,0.8455598455598455,0.8076923076923077
13,distance,euclidean,1.0,0.8076923076923077
13,distance,manhattan,1.0,0.8076923076923077
13,distance,chebyshev,1.0,0.8076923076923077
13,distance,minkowski,1.0,0.8076923076923077
14,uniform,euclidean,0.8204633204633205,0.8153846153846154
14,uniform,manhattan,0.8359073359073359,0.7692307692307693
14,uniform,chebyshev,0.8416988416988417,0.7846153846153846
14,uniform,minkowski,0.8204633204633205,0.8153846153846154
14,distance,euclidean,1.0,0.8461538461538461
14,distance,manhattan,1.0,0.7846153846153846
14,distance,chebyshev,1.0,0.823076923076923
14,distance,minkowski,1.0,0.8461538461538461
15,uniform,euclidean,0.8359073359073359,0.7769230769230769
15,uniform,manhattan,0.833976833976834,0.7615384615384615
15,uniform,chebyshev,0.8127413127413128,0.7769230769230769
15,uniform,minkowski,0.8359073359073359,0.7769230769230769
15,distance,euclidean,1.0,0.823076923076923
15,distance,manhattan,1.0,0.8
15,distance,chebyshev,1.0,0.8153846153846154
15,distance,minkowski,1.0,0.823076923076923
16,uniform,euclidean,0.8204633204633205,0.7538461538461538
16,uniform,manhattan,0.8127413127413128,0.7461538461538462
16,uniform,chebyshev,0.8204633204633205,0.7769230769230769
16,uniform,minkowski,0.8204633204633205,0.7538461538461538
16,distance,euclidean,1.0,0.8
16,distance,manhattan,1.0,0.7923076923076923
16,distance,chebyshev,1.0,0.8076923076923077
16,distance,minkowski,1.0,0.8
17,uniform,euclidean,0.805019305019305,0.7538461538461538
17,uniform,manhattan,0.8166023166023166,0.7461538461538462
17,uniform,chebyshev,0.8223938223938224,0.7384615384615385
17,uniform,minkowski,0.805019305019305,0.7538461538461538
17,distance,euclidean,1.0,0.7769230769230769
17,distance,manhattan,1.0,0.7769230769230769
17,distance,chebyshev,1.0,0.8076923076923077
17,distance,minkowski,1.0,0.7769230769230769
18,uniform,euclidean,0.8011583011583011,0.7538461538461538
18,uniform,manhattan,0.7818532818532818,0.7461538461538462
18,uniform,chebyshev,0.806949806949807,0.7538461538461538
18,uniform,minkowski,0.8011583011583011,0.7538461538461538
18,distance,euclidean,1.0,0.7846153846153846
18,distance,manhattan,1.0,0.8
18,distance,chebyshev,1.0,0.7923076923076923
18,distance,minkowski,1.0,0.7846153846153846
19,uniform,euclidean,0.7972972972972973,0.7461538461538462
19,uniform,manhattan,0.7722007722007722,0.7384615384615385
19,uniform,chebyshev,0.7818532818532818,0.7384615384615385
19,uniform,minkowski,0.7972972972972973,0.7461538461538462
19,distance,euclidean,1.0,0.8
19,distance,manhattan,1.0,0.7846153846153846
19,distance,chebyshev,1.0,0.823076923076923
19,distance,minkowski,1.0,0.8
20,uniform,euclidean,0.777992277992278,0.7538461538461538
20,uniform,manhattan,0.7586872586872587,0.7461538461538462
20,uniform,chebyshev,0.7741312741312741,0.7230769230769231
20,uniform,minkowski,0.777992277992278,0.7538461538461538
20,distance,euclidean,1.0,0.7769230769230769
20,distance,manhattan,1.0,0.7923076923076923
20,distance,chebyshev,1.0,0.7846153846153846
20,distance,minkowski,1.0,0.7769230769230769
