n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.7076923076923077
1,uniform,manhattan,1.0,0.7
1,uniform,chebyshev,1.0,0.676923076923077
1,uniform,minkowski,1.0,0.7076923076923077
1,distance,euclidean,1.0,0.7076923076923077
1,distance,manhattan,1.0,0.7
1,distance,chebyshev,1.0,0.676923076923077
1,distance,minkowski,1.0,0.7076923076923077
2,uniform,euclidean,0.8783783783783784,0.7
2,uniform,manhattan,0.8822393822393823,0.6923076923076923
2,uniform,chebyshev,0.8571428571428571,0.6384615384615384
2,uniform,minkowski,0.8783783783783784,0.7
2,distance,euclidean,1.0,0.7076923076923077
2,distance,manhattan,1.0,0.7
2,distance,chebyshev,1.0,0.676923076923077
2,distance,minkowski,1.0,0.7076923076923077
3,uniform,euclidean,0.862934362934363,0.6615384615384615
3,uniform,manhattan,0.8513513513513513,0.676923076923077
3,uniform,chebyshev,0.8474903474903475,0.6230769230769231
3,uniform,minkowski,0.862934362934363,0.6615384615384615
3,distance,euclidean,1.0,0.6538461538461539
3,distance,manhattan,1.0,0.6846153846153846
3,distance,chebyshev,1.0,0.6076923076923076
3,distance,minkowski,1.0,0.6538461538461539
4,uniform,euclidean,0.8436293436293436,0.6538461538461539
4,uniform,manhattan,0.8223938223938224,0.6923076923076923
4,uniform,chebyshev,0.8281853281853282,0.6153846153846154
4,uniform,minkowski,0.8436293436293436,0.6538461538461539
4,distance,euclidean,1.0,0.6923076923076923
4,distance,manhattan,1.0,0.676923076923077
4,distance,chebyshev,1.0,0.6384615384615384
4,distance,minkowski,1.0,0.6923076923076923
5,uniform,euclidean,0.8243243243243243,0.6384615384615384
5,uniform,manhattan,0.7992277992277992,0.676923076923077
5,uniform,chebyshev,0.7915057915057915,0.6538461538461539
5,uniform,minkowski,0.8243243243243243,0.6384615384615384
5,distance,euclidean,1.0,0.6615384615384615
5,distance,manhattan,1.0,0.6692307692307692
5,distance,chebyshev,1.0,0.6461538461538462
5,distance,minkowski,1.0,0.6615384615384615
6,uniform,euclidean,0.7818532818532818,0.6461538461538462
6,uniform,manhattan,0.7818532818532818,0.6461538461538462
6,uniform,chebyshev,0.7760617760617761,0.6538461538461539
6,uniform,minkowski,0.7818532818532818,0.6461538461538462
6,distance,euclidean,1.0,0.676923076923077
6,distance,manhattan,1.0,0.676923076923077
6,distance,chebyshev,1.0,0.6538461538461539
6,distance,minkowski,1.0,0.676923076923077
7,uniform,euclidean,0.7741312741312741,0.6
7,uniform,manhattan,0.7722007722007722,0.6384615384615384
7,uniform,chebyshev,0.777992277992278,0.6538461538461539
7,uniform,minkowski,0.7741312741312741,0.6
7,distance,euclidean,1.0,0.6153846153846154
7,distance,manhattan,1.0,0.6307692307692307
7,distance,chebyshev,1.0,0.6538461538461539
7,distance,minkowski,1.0,0.6153846153846154
8,uniform,euclidean,0.7722007722007722,0.6076923076923076
8,uniform,manhattan,0.7664092664092664,0.676923076923077
