n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.8861003861003861,0.7461538461538462
1,entropy,0.8803088803088803,0.7
1,log_loss,0.8803088803088803,0.7
2,gini,0.8976833976833977,0.7153846153846154
2,entropy,0.8976833976833977,0.7384615384615385
2,log_loss,0.8976833976833977,0.7384615384615385
3,gini,0.9459459459459459,0.7153846153846154
3,entropy,0.9498069498069498,0.7153846153846154
3,log_loss,0.9498069498069498,0.7153846153846154
4,gini,0.9613899613899614,0.7538461538461538
4,entropy,0.9691119691119691,0.7307692307692307
4,log_loss,0.9691119691119691,0.7307692307692307
5,gini,0.974903474903475,0.7846153846153846
5,entropy,0.9864864864864865,0.7076923076923077
5,log_loss,0.9864864864864865,0.7076923076923077
6,gini,0.9845559845559846,0.7923076923076923
6,entropy,0.9903474903474904,0.7
6,log_loss,0.9903474903474904,0.7
7,gini,0.9826254826254827,0.8384615384615385
7,entropy,0.9980694980694981,0.7230769230769231
7,log_loss,0.9980694980694981,0.7230769230769231
8,gini,0.9903474903474904,0.8153846153846154
8,entropy,0.9961389961389961,0.7384615384615385
8,log_loss,0.9961389961389961,0.7384615384615385
9,gini,0.9922779922779923,0.8307692307692308
9,entropy,0.9980694980694981,0.7538461538461538
9,log_loss,0.9980694980694981,0.7538461538461538
10,gini,0.9942084942084942,0.8076923076923077
10,entropy,0.9980694980694981,0.7538461538461538
10,log_loss,0.9980694980694981,0.7538461538461538
11,gini,0.9980694980694981,0.8076923076923077
11,entropy,1.0,0.7615384615384615
11,log_loss,1.0,0.7615384615384615
12,gini,0.9961389961389961,0.7846153846153846
12,entropy,0.9980694980694981,0.7769230769230769
12,log_loss,0.9980694980694981,0.7769230769230769
13,gini,0.9961389961389961,0.8153846153846154
13,entropy,1.0,0.8
13,log_loss,1.0,0.8
14,gini,0.9961389961389961,0.7923076923076923
14,entropy,0.9961389961389961,0.8
14,log_loss,0.9961389961389961,0.8
15,gini,0.9942084942084942,0.8461538461538461
15,entropy,0.9980694980694981,0.8153846153846154
15,log_loss,0.9980694980694981,0.8153846153846154
16,gini,0.9980694980694981,0.8153846153846154
16,entropy,0.9980694980694981,0.7923076923076923
16,log_loss,0.9980694980694981,0.7923076923076923
17,gini,0.9980694980694981,0.8076923076923077
17,entropy,1.0,0.8076923076923077
17,log_loss,1.0,0.8076923076923077
18,gini,0.9980694980694981,0.8
18,entropy,1.0,0.7923076923076923
18,log_loss,1.0,0.7923076923076923
19,gini,1.0,0.7846153846153846
19,entropy,1.0,0.8076923076923077
19,log_loss,1.0,0.8076923076923077
20,gini,0.9980694980694981,0.8
20,entropy,1.0,0.8076923076923077
20,log_loss,1.0,0.8076923076923077
