n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.861003861003861,0.6307692307692307
1,entropy,0.8861003861003861,0.6384615384615384
1,log_loss,0.8861003861003861,0.6384615384615384
2,gini,0.8938223938223938,0.6307692307692307
2,entropy,0.8667953667953668,0.7153846153846154
2,log_loss,0.8667953667953668,0.7153846153846154
3,gini,0.9575289575289575,0.7076923076923077
3,entropy,0.9517374517374517,0.6692307692307692
3,log_loss,0.9517374517374517,0.6692307692307692
4,gini,0.972972972972973,0.7153846153846154
4,entropy,0.9555984555984556,0.7307692307692307
4,log_loss,0.9555984555984556,0.7307692307692307
5,gini,0.9787644787644788,0.7
5,entropy,0.971042471042471,0.7384615384615385
5,log_loss,0.971042471042471,0.7384615384615385
6,gini,0.9826254826254827,0.7384615384615385
6,entropy,0.9845559845559846,0.7692307692307693
6,log_loss,0.9845559845559846,0.7692307692307693
7,gini,0.9922779922779923,0.7615384615384615
7,entropy,0.9903474903474904,0.7769230769230769
7,log_loss,0.9903474903474904,0.7769230769230769
8,gini,0.9942084942084942,0.7923076923076923
8,entropy,0.9942084942084942,0.8076923076923077
8,log_loss,0.9942084942084942,0.8076923076923077
9,gini,0.9980694980694981,0.8153846153846154
9,entropy,0.9961389961389961,0.8
9,log_loss,0.9961389961389961,0.8
10,gini,0.9980694980694981,0.823076923076923
10,entropy,0.9961389961389961,0.8076923076923077
10,log_loss,0.9961389961389961,0.8076923076923077
11,gini,0.9980694980694981,0.8384615384615385
11,entropy,0.9980694980694981,0.8
11,log_loss,0.9980694980694981,0.8
12,gini,0.9961389961389961,0.8461538461538461
12,entropy,0.9980694980694981,0.8076923076923077
12,log_loss,0.9980694980694981,0.8076923076923077
13,gini,0.9980694980694981,0.8538461538461538
13,entropy,0.9980694980694981,0.8076923076923077
13,log_loss,0.9980694980694981,0.8076923076923077
14,gini,0.9980694980694981,0.8615384615384616
14,entropy,0.9980694980694981,0.8307692307692308
14,log_loss,0.9980694980694981,0.8307692307692308
15,gini,0.9980694980694981,0.8615384615384616
15,entropy,0.9980694980694981,0.823076923076923
15,log_loss,0.9980694980694981,0.823076923076923
16,gini,0.9980694980694981,0.8692307692307693
16,entropy,0.9980694980694981,0.823076923076923
16,log_loss,0.9980694980694981,0.823076923076923
17,gini,0.9980694980694981,0.8692307692307693
17,entropy,0.9980694980694981,0.8384615384615385
17,log_loss,0.9980694980694981,0.8384615384615385
18,gini,0.9980694980694981,0.8615384615384616
18,entropy,0.9980694980694981,0.823076923076923
18,log_loss,0.9980694980694981,0.823076923076923
19,gini,0.9980694980694981,0.8461538461538461
19,entropy,0.9980694980694981,0.8307692307692308
19,log_loss,0.9980694980694981,0.8307692307692308
20,gini,0.9980694980694981,0.8461538461538461
20,entropy,0.9980694980694981,0.8307692307692308
20,log_loss,0.9980694980694981,0.8307692307692308
