n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.8166023166023166,0.6307692307692307
1,entropy,0.8416988416988417,0.6307692307692307
1,log_loss,0.8416988416988417,0.6307692307692307
2,gini,0.8416988416988417,0.5538461538461539
2,entropy,0.8745173745173745,0.5846153846153846
2,log_loss,0.8745173745173745,0.5846153846153846
3,gini,0.915057915057915,0.7
3,entropy,0.9324324324324325,0.6615384615384615
3,log_loss,0.9324324324324325,0.6615384615384615
4,gini,0.9401544401544402,0.6538461538461539
4,entropy,0.9555984555984556,0.7
4,log_loss,0.9555984555984556,0.7
5,gini,0.9517374517374517,0.6692307692307692
5,entropy,0.974903474903475,0.6923076923076923
5,log_loss,0.974903474903475,0.6923076923076923
6,gini,0.9594594594594594,0.6384615384615384
6,entropy,0.9691119691119691,0.6615384615384615
6,log_loss,0.9691119691119691,0.6615384615384615
7,gini,0.9787644787644788,0.676923076923077
7,entropy,0.9787644787644788,0.7
7,log_loss,0.9787644787644788,0.7
8,gini,0.9826254826254827,0.6846153846153846
8,entropy,0.9884169884169884,0.7
8,log_loss,0.9884169884169884,0.7
9,gini,0.9826254826254827,0.7
9,entropy,0.9884169884169884,0.7230769230769231
9,log_loss,0.9884169884169884,0.7230769230769231
10,gini,0.9826254826254827,0.7153846153846154
10,entropy,0.9922779922779923,0.6846153846153846
10,log_loss,0.9922779922779923,0.6846153846153846
11,gini,0.9922779922779923,0.7153846153846154
11,entropy,0.9942084942084942,0.7230769230769231
11,log_loss,0.9942084942084942,0.7230769230769231
12,gini,0.9922779922779923,0.7307692307692307
12,entropy,0.9922779922779923,0.7384615384615385
12,log_loss,0.9922779922779923,0.7384615384615385
13,gini,0.9961389961389961,0.7230769230769231
13,entropy,0.9903474903474904,0.7461538461538462
13,log_loss,0.9903474903474904,0.7461538461538462
14,gini,0.9961389961389961,0.7384615384615385
14,entropy,0.9922779922779923,0.7153846153846154
14,log_loss,0.9922779922779923,0.7153846153846154
15,gini,0.9961389961389961,0.7230769230769231
15,entropy,0.9980694980694981,0.7230769230769231
15,log_loss,0.9980694980694981,0.7230769230769231
16,gini,0.9922779922779923,0.7538461538461538
16,entropy,0.9922779922779923,0.7
16,log_loss,0.9922779922779923,0.7
17,gini,0.9942084942084942,0.7461538461538462
17,entropy,0.9942084942084942,0.7230769230769231
17,log_loss,0.9942084942084942,0.7230769230769231
18,gini,0.9942084942084942,0.7615384615384615
18,entropy,0.9922779922779923,0.7153846153846154
18,log_loss,0.9922779922779923,0.7153846153846154
19,gini,0.9961389961389961,0.7692307692307693
19,entropy,0.9980694980694981,0.7230769230769231
19,log_loss,0.9980694980694981,0.7230769230769231
20,gini,0.9942084942084942,0.7615384615384615
20,entropy,0.9980694980694981,0.7230769230769231
20,log_loss,0.9980694980694981,0.7230769230769231
