n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.9772727272727273
1,uniform,manhattan,1.0,0.9545454545454546
1,uniform,chebyshev,1.0,0.9318181818181818
1,uniform,minkowski,1.0,0.9772727272727273
1,distance,euclidean,1.0,0.9772727272727273
1,distance,manhattan,1.0,0.9545454545454546
1,distance,chebyshev,1.0,0.9318181818181818
1,distance,minkowski,1.0,0.9772727272727273
2,uniform,euclidean,0.9941860465116279,1.0
2,uniform,manhattan,0.9941860465116279,1.0
2,uniform,chebyshev,0.9825581395348837,0.9545454545454546
2,uniform,minkowski,0.9941860465116279,1.0
2,distance,euclidean,1.0,0.9772727272727273
2,distance,manhattan,1.0,0.9545454545454546
2,distance,chebyshev,1.0,0.9318181818181818
2,distance,minkowski,1.0,0.9772727272727273
3,uniform,euclidean,0.9709302325581395,0.9772727272727273
3,uniform,manhattan,0.9767441860465116,0.9772727272727273
3,uniform,chebyshev,0.9651162790697675,0.9545454545454546
3,uniform,minkowski,0.9709302325581395,0.9772727272727273
3,distance,euclidean,1.0,0.9772727272727273
3,distance,manhattan,1.0,0.9772727272727273
3,distance,chebyshev,1.0,0.9545454545454546
3,distance,minkowski,1.0,0.9772727272727273
4,uniform,euclidean,0.9593023255813954,0.9772727272727273
4,uniform,manhattan,0.9593023255813954,0.9772727272727273
4,uniform,chebyshev,0.9593023255813954,0.9772727272727273
4,uniform,minkowski,0.9593023255813954,0.9772727272727273
4,distance,euclidean,1.0,0.9772727272727273
4,distance,manhattan,1.0,0.9772727272727273
4,distance,chebyshev,1.0,0.9545454545454546
4,distance,minkowski,1.0,0.9772727272727273
5,uniform,euclidean,0.9593023255813954,0.9545454545454546
5,uniform,manhattan,0.9651162790697675,0.9545454545454546
5,uniform,chebyshev,0.9418604651162791,0.9772727272727273
5,uniform,minkowski,0.9593023255813954,0.9545454545454546
5,distance,euclidean,1.0,0.9772727272727273
5,distance,manhattan,1.0,0.9772727272727273
5,distance,chebyshev,1.0,1.0
5,distance,minkowski,1.0,0.9772727272727273
6,uniform,euclidean,0.9593023255813954,0.9772727272727273
6,uniform,manhattan,0.9476744186046512,0.9772727272727273
6,uniform,chebyshev,0.9534883720930233,0.9772727272727273
6,uniform,minkowski,0.9593023255813954,0.9772727272727273
6,distance,euclidean,1.0,0.9772727272727273
6,distance,manhattan,1.0,0.9772727272727273
