n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.9069767441860465,0.6363636363636364
1,entropy,0.9244186046511628,0.7272727272727273
1,log_loss,0.9244186046511628,0.7272727272727273
2,gini,0.936046511627907,0.7272727272727273
2,entropy,0.9418604651162791,0.7727272727272727
2,log_loss,0.9418604651162791,0.7727272727272727
3,gini,0.9883720930232558,0.8636363636363636
3,entropy,0.9593023255813954,0.75
3,log_loss,0.9593023255813954,0.75
4,gini,1.0,0.8636363636363636
4,entropy,0.9883720930232558,0.8181818181818182
4,log_loss,0.9883720930232558,0.8181818181818182
5,gini,0.9883720930232558,0.9318181818181818
5,entropy,0.9941860465116279,0.8863636363636364
5,log_loss,0.9941860465116279,0.8863636363636364
6,gini,0.9941860465116279,0.9318181818181818
6,entropy,0.9941860465116279,0.8863636363636364
6,log_loss,0.9941860465116279,0.8863636363636364
7,gini,0.9883720930232558,0.9545454545454546
7,entropy,0.9941860465116279,0.8636363636363636
7,log_loss,0.9941860465116279,0.8636363636363636
8,gini,0.9941860465116279,0.9318181818181818
8,entropy,0.9941860465116279,0.9090909090909091
8,log_loss,0.9941860465116279,0.9090909090909091
9,gini,1.0,0.9090909090909091
9,entropy,0.9941860465116279,0.8636363636363636
9,log_loss,0.9941860465116279,0.8636363636363636
10,gini,1.0,0.9318181818181818
10,entropy,1.0,0.9090909090909091
10,log_loss,1.0,0.9090909090909091
11,gini,1.0,0.9318181818181818
11,entropy,1.0,0.9318181818181818
11,log_loss,1.0,0.9318181818181818
12,gini,1.0,0.9545454545454546
12,entropy,1.0,0.9318181818181818
12,log_loss,1.0,0.9318181818181818
13,gini,1.0,0.9318181818181818
13,entropy,1.0,0.9090909090909091
13,log_loss,1.0,0.9090909090909091
14,gini,1.0,0.9545454545454546
14,entropy,1.0,0.9318181818181818
14,log_loss,1.0,0.9318181818181818
15,gini,1.0,0.9545454545454546
15,entropy,1.0,0.9318181818181818
15,log_loss,1.0,0.9318181818181818
16,gini,1.0,0.9545454545454546
16,entropy,1.0,0.9318181818181818
16,log_loss,1.0,0.9318181818181818
17,gini,1.0,0.9545454545454546
17,entropy,1.0,0.9318181818181818
17,log_loss,1.0,0.9318181818181818
18,gini,1.0,0.9545454545454546
18,entropy,1.0,0.9318181818181818
18,log_loss,1.0,0.9318181818181818
19,gini,1.0,0.9545454545454546
19,entropy,1.0,0.9318181818181818
19,log_loss,1.0,0.9318181818181818
20,gini,1.0,0.9545454545454546
20,entropy,1.0,0.9318181818181818
20,log_loss,1.0,0.9318181818181818
