n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.9069767441860465,0.7954545454545454
1,entropy,0.9302325581395349,0.7954545454545454
1,log_loss,0.9302325581395349,0.7954545454545454
2,gini,0.9127906976744186,0.7272727272727273
2,entropy,0.9418604651162791,0.7045454545454546
2,log_loss,0.9418604651162791,0.7045454545454546
3,gini,0.9883720930232558,0.9090909090909091
3,entropy,0.9883720930232558,0.8409090909090909
3,log_loss,0.9883720930232558,0.8409090909090909
4,gini,0.9883720930232558,0.9090909090909091
4,entropy,0.9883720930232558,0.8636363636363636
4,log_loss,0.9883720930232558,0.8636363636363636
5,gini,0.9883720930232558,0.8636363636363636
5,entropy,0.9825581395348837,0.8636363636363636
5,log_loss,0.9825581395348837,0.8636363636363636
6,gini,0.9825581395348837,0.9090909090909091
6,entropy,0.9883720930232558,0.9090909090909091
6,log_loss,0.9883720930232558,0.9090909090909091
7,gini,0.9825581395348837,0.9090909090909091
7,entropy,0.9825581395348837,0.9318181818181818
7,log_loss,0.9825581395348837,0.9318181818181818
8,gini,0.9825581395348837,0.9090909090909091
8,entropy,0.9941860465116279,0.9772727272727273
8,log_loss,0.9941860465116279,0.9772727272727273
9,gini,0.9825581395348837,0.9318181818181818
9,entropy,0.9883720930232558,0.9772727272727273
9,log_loss,0.9883720930232558,0.9772727272727273
10,gini,0.9883720930232558,0.9545454545454546
10,entropy,1.0,0.9772727272727273
10,log_loss,1.0,0.9772727272727273
11,gini,0.9941860465116279,0.9545454545454546
11,entropy,0.9941860465116279,0.9545454545454546
11,log_loss,0.9941860465116279,0.9545454545454546
12,gini,0.9941860465116279,0.9545454545454546
12,entropy,1.0,0.9772727272727273
12,log_loss,1.0,0.9772727272727273
13,gini,0.9941860465116279,0.9545454545454546
13,entropy,0.9941860465116279,0.9772727272727273
13,log_loss,0.9941860465116279,0.9772727272727273
14,gini,0.9941860465116279,0.9545454545454546
14,entropy,1.0,0.9772727272727273
14,log_loss,1.0,0.9772727272727273
15,gini,0.9941860465116279,0.9545454545454546
15,entropy,1.0,0.9772727272727273
15,log_loss,1.0,0.9772727272727273
16,gini,0.9941860465116279,0.9545454545454546
16,entropy,1.0,0.9772727272727273
16,log_loss,1.0,0.9772727272727273
17,gini,1.0,0.9545454545454546
17,entropy,1.0,0.9772727272727273
17,log_loss,1.0,0.9772727272727273
18,gini,1.0,0.9545454545454546
18,entropy,1.0,0.9545454545454546
18,log_loss,1.0,0.9545454545454546
19,gini,1.0,0.9318181818181818
19,entropy,1.0,0.9772727272727273
19,log_loss,1.0,0.9772727272727273
20,gini,1.0,0.9318181818181818
20,entropy,1.0,0.9545454545454546
20,log_loss,1.0,0.9545454545454546
