n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.872093023255814,0.6818181818181818
1,entropy,0.9069767441860465,0.6363636363636364
1,log_loss,0.9069767441860465,0.6363636363636364
2,gini,0.877906976744186,0.6818181818181818
2,entropy,0.9534883720930233,0.6818181818181818
2,log_loss,0.9534883720930233,0.6818181818181818
3,gini,0.9825581395348837,0.75
3,entropy,0.9709302325581395,0.8636363636363636
3,log_loss,0.9709302325581395,0.8636363636363636
4,gini,0.9767441860465116,0.75
4,entropy,0.9709302325581395,0.8636363636363636
4,log_loss,0.9709302325581395,0.8636363636363636
5,gini,0.9883720930232558,0.7727272727272727
5,entropy,0.9767441860465116,0.7954545454545454
5,log_loss,0.9767441860465116,0.7954545454545454
6,gini,1.0,0.7727272727272727
6,entropy,0.9883720930232558,0.8181818181818182
6,log_loss,0.9883720930232558,0.8181818181818182
7,gini,0.9941860465116279,0.8636363636363636
7,entropy,0.9883720930232558,0.8863636363636364
7,log_loss,0.9883720930232558,0.8863636363636364
8,gini,1.0,0.8636363636363636
8,entropy,0.9941860465116279,0.8863636363636364
8,log_loss,0.9941860465116279,0.8863636363636364
9,gini,1.0,0.8409090909090909
9,entropy,1.0,0.9318181818181818
9,log_loss,1.0,0.9318181818181818
10,gini,1.0,0.8863636363636364
10,entropy,1.0,0.9318181818181818
10,log_loss,1.0,0.9318181818181818
11,gini,1.0,0.8863636363636364
11,entropy,1.0,0.9318181818181818
11,log_loss,1.0,0.9318181818181818
12,gini,1.0,0.8636363636363636
12,entropy,1.0,0.9090909090909091
12,log_loss,1.0,0.9090909090909091
13,gini,1.0,0.9090909090909091
13,entropy,1.0,0.9318181818181818
13,log_loss,1.0,0.9318181818181818
14,gini,1.0,0.9090909090909091
14,entropy,1.0,0.9318181818181818
14,log_loss,1.0,0.9318181818181818
15,gini,1.0,0.9318181818181818
15,entropy,1.0,0.9318181818181818
15,log_loss,1.0,0.9318181818181818
16,gini,1.0,0.9318181818181818
16,entropy,1.0,0.9318181818181818
16,log_loss,1.0,0.9318181818181818
17,gini,1.0,0.9318181818181818
17,entropy,1.0,0.9090909090909091
17,log_loss,1.0,0.9090909090909091
18,gini,1.0,0.9318181818181818
18,entropy,1.0,0.9090909090909091
18,log_loss,1.0,0.9090909090909091
19,gini,1.0,0.9318181818181818
19,entropy,1.0,0.9318181818181818
19,log_loss,1.0,0.9318181818181818
20,gini,1.0,0.9318181818181818
20,entropy,1.0,0.9772727272727273
20,log_loss,1.0,0.9772727272727273
