n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.8895348837209303,0.7045454545454546
1,entropy,0.9011627906976745,0.7045454545454546
1,log_loss,0.9011627906976745,0.7045454545454546
2,gini,0.9244186046511628,0.7045454545454546
2,entropy,0.9186046511627907,0.75
2,log_loss,0.9186046511627907,0.75
3,gini,0.9534883720930233,0.75
3,entropy,0.9651162790697675,0.8181818181818182
3,log_loss,0.9651162790697675,0.8181818181818182
4,gini,0.9767441860465116,0.7727272727272727
4,entropy,0.9767441860465116,0.7727272727272727
4,log_loss,0.9767441860465116,0.7727272727272727
5,gini,0.9593023255813954,0.7954545454545454
5,entropy,0.9767441860465116,0.8409090909090909
5,log_loss,0.9767441860465116,0.8409090909090909
6,gini,0.9883720930232558,0.7954545454545454
6,entropy,0.9883720930232558,0.8181818181818182
6,log_loss,0.9883720930232558,0.8181818181818182
7,gini,0.9767441860465116,0.8181818181818182
7,entropy,0.9651162790697675,0.8636363636363636
7,log_loss,0.9651162790697675,0.8636363636363636
8,gini,0.9941860465116279,0.7954545454545454
8,entropy,0.9883720930232558,0.8181818181818182
8,log_loss,0.9883720930232558,0.8181818181818182
9,gini,0.9941860465116279,0.8181818181818182
9,entropy,0.9941860465116279,0.8409090909090909
9,log_loss,0.9941860465116279,0.8409090909090909
10,gini,0.9941860465116279,0.8181818181818182
10,entropy,0.9941860465116279,0.8636363636363636
10,log_loss,0.9941860465116279,0.8636363636363636
11,gini,0.9883720930232558,0.8181818181818182
11,entropy,0.9941860465116279,0.8409090909090909
11,log_loss,0.9941860465116279,0.8409090909090909
12,gini,0.9883720930232558,0.8181818181818182
12,entropy,0.9941860465116279,0.8409090909090909
12,log_loss,0.9941860465116279,0.8409090909090909
13,gini,0.9883720930232558,0.8181818181818182
13,entropy,0.9941860465116279,0.8409090909090909
13,log_loss,0.9941860465116279,0.8409090909090909
14,gini,0.9941860465116279,0.8636363636363636
14,entropy,0.9941860465116279,0.8409090909090909
14,log_loss,0.9941860465116279,0.8409090909090909
15,gini,0.9941860465116279,0.8636363636363636
15,entropy,0.9941860465116279,0.8636363636363636
15,log_loss,0.9941860465116279,0.8636363636363636
16,gini,0.9941860465116279,0.8636363636363636
16,entropy,0.9941860465116279,0.8636363636363636
16,log_loss,0.9941860465116279,0.8636363636363636
17,gini,1.0,0.8636363636363636
17,entropy,1.0,0.8409090909090909
17,log_loss,1.0,0.8409090909090909
18,gini,1.0,0.8863636363636364
18,entropy,1.0,0.8181818181818182
18,log_loss,1.0,0.8181818181818182
19,gini,1.0,0.8863636363636364
19,entropy,1.0,0.8181818181818182
19,log_loss,1.0,0.8181818181818182
20,gini,1.0,0.9090909090909091
20,entropy,1.0,0.8181818181818182
20,log_loss,1.0,0.8181818181818182
