n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.9867549668874173
1,uniform,manhattan,1.0,1.0
1,uniform,chebyshev,1.0,0.9933774834437086
1,uniform,minkowski,1.0,0.9867549668874173
1,distance,euclidean,1.0,0.9867549668874173
1,distance,manhattan,1.0,1.0
1,distance,chebyshev,1.0,0.9933774834437086
1,distance,minkowski,1.0,0.9867549668874173
2,uniform,euclidean,1.0,0.9933774834437086
2,uniform,manhattan,0.9983361064891847,1.0
2,uniform,chebyshev,1.0,0.9867549668874173
2,uniform,minkowski,1.0,0.9933774834437086
2,distance,euclidean,1.0,0.9867549668874173
2,distance,manhattan,1.0,1.0
2,distance,chebyshev,1.0,0.9933774834437086
2,distance,minkowski,1.0,0.9867549668874173
3,uniform,euclidean,1.0,0.9933774834437086
3,uniform,manhattan,1.0,0.9933774834437086
3,uniform,chebyshev,1.0,0.9933774834437086
3,uniform,minkowski,1.0,0.9933774834437086
3,distance,euclidean,1.0,0.9933774834437086
3,distance,manhattan,1.0,0.9933774834437086
3,distance,chebyshev,1.0,0.9933774834437086
3,distance,minkowski,1.0,0.9933774834437086
4,uniform,euclidean,1.0,1.0
4,uniform,manhattan,1.0,1.0
4,uniform,chebyshev,0.9983361064891847,0.9867549668874173
4,uniform,minkowski,1.0,1.0
4,distance,euclidean,1.0,0.9933774834437086
4,distance,manhattan,1.0,1.0
4,distance,chebyshev,1.0,0.9933774834437086
4,distance,minkowski,1.0,0.9933774834437086
5,uniform,euclidean,1.0,1.0
5,uniform,manhattan,1.0,1.0
5,uniform,chebyshev,0.9983361064891847,0.9933774834437086
5,uniform,minkowski,1.0,1.0
5,distance,euclidean,1.0,1.0
5,distance,manhattan,1.0,1.0
5,distance,chebyshev,1.0,0.9933774834437086
5,distance,minkowski,1.0,1.0
6,uniform,euclidean,0.9950083194675541,0.9933774834437086
6,uniform,manhattan,0.9966722129783694,0.9867549668874173
6,uniform,chebyshev,0.9966722129783694,0.9867549668874173
6,uniform,minkowski,0.9950083194675541,0.9933774834437086
6,distance,euclidean,1.0,1.0
6,distance,manhattan,1.0,1.0
6,distance,chebyshev,1.0,0.9933774834437086
6,distance,minkowski,1.0,1.0
7,uniform,euclidean,0.9950083194675541,0.9933774834437086
7,uniform,manhattan,1.0,0.9867549668874173
