n_neighbors,weights,metric,accuracy_train,accuracy_test
1,uniform,euclidean,1.0,0.8013245033112583
1,uniform,manhattan,1.0,0.8013245033112583
1,uniform,chebyshev,1.0,0.8145695364238411
1,uniform,minkowski,1.0,0.8013245033112583
1,distance,euclidean,1.0,0.8013245033112583
1,distance,manhattan,1.0,0.8013245033112583
1,distance,chebyshev,1.0,0.8145695364238411
1,distance,minkowski,1.0,0.8013245033112583
2,uniform,euclidean,0.9284525790349417,0.7814569536423841
2,uniform,manhattan,0.9267886855241264,0.7814569536423841
2,uniform,chebyshev,0.9184692179700499,0.7682119205298014
2,uniform,minkowski,0.9284525790349417,0.7814569536423841
2,distance,euclidean,1.0,0.8013245033112583
2,distance,manhattan,1.0,0.8013245033112583
2,distance,chebyshev,1.0,0.8145695364238411
2,distance,minkowski,1.0,0.8013245033112583
3,uniform,euclidean,0.9367720465890182,0.8079470198675497
3,uniform,manhattan,0.9351081530782029,0.8079470198675497
3,uniform,chebyshev,0.9101497504159733,0.8079470198675497
3,uniform,minkowski,0.9367720465890182,0.8079470198675497
3,distance,euclidean,1.0,0.8079470198675497
3,distance,manhattan,1.0,0.8145695364238411
3,distance,chebyshev,1.0,0.8145695364238411
3,distance,minkowski,1.0,0.8079470198675497
4,uniform,euclidean,0.9034941763727121,0.8211920529801324
4,uniform,manhattan,0.9101497504159733,0.8145695364238411
4,uniform,chebyshev,0.8868552412645591,0.8278145695364238
4,uniform,minkowski,0.9034941763727121,0.8211920529801324
4,distance,euclidean,1.0,0.8145695364238411
4,distance,manhattan,1.0,0.8079470198675497
4,distance,chebyshev,1.0,0.8211920529801324
4,distance,minkowski,1.0,0.8145695364238411
5,uniform,euclidean,0.9001663893510815,0.8013245033112583
5,uniform,manhattan,0.9034941763727121,0.8079470198675497
5,uniform,chebyshev,0.8885191347753744,0.8079470198675497
5,uniform,minkowski,0.9001663893510815,0.8013245033112583
5,distance,euclidean,1.0,0.7880794701986755
5,distance,manhattan,1.0,0.8211920529801324
5,distance,chebyshev,1.0,0.8145695364238411
5,distance,minkowski,1.0,0.7880794701986755
6,uniform,euclidean,0.8768718801996672,0.8145695364238411
6,uniform,manhattan,0.8885191347753744,0.7814569536423841
6,uniform,chebyshev,0.8785357737104825,0.8013245033112583
6,uniform,minkowski,0.8768718801996672,0.8145695364238411
6,distance,euclidean,1.0,0.8278145695364238
6,distance,manhattan,1.0,0.8145695364238411
6,distance,chebyshev,1.0,0.8145695364238411
6,distance,minkowski,1.0,0.8278145695364238
7,uniform,euclidean,0.8785357737104825,0.8145695364238411
7,uniform,manhattan,0.8801996672212978,0.7814569536423841
7,uniform,chebyshev,0.8668885191347754,0.7947019867549668
7,uniform,minkowski,0.8785357737104825,0.8145695364238411
7,distance,euclidean,1.0,0.8145695364238411
7,distance,manhattan,1.0,0.8013245033112583
7,distance,chebyshev,1.0,0.8013245033112583
7,distance,minkowski,1.0,0.8145695364238411
8,uniform,euclidean,0.8652246256239601,0.8079470198675497
8,uniform,manhattan,0.8535773710482529,0.7880794701986755
8,uniform,chebyshev,0.8435940099833611,0.8079470198675497
8,uniform,minkowski,0.8652246256239601,0.8079470198675497
8,distance,euclidean,1.0,0.8145695364238411
8,distance,manhattan,1.0,0.8013245033112583
8,distance,chebyshev,1.0,0.8211920529801324
8,distance,minkowski,1.0,0.8145695364238411
9,uniform,euclidean,0.8585690515806988,0.7880794701986755
9,uniform,manhattan,0.8618968386023295,0.7880794701986755
