n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.9284525790349417,0.8145695364238411
1,entropy,0.9484193011647255,0.8344370860927153
1,log_loss,0.9484193011647255,0.8344370860927153
2,gini,0.9467554076539102,0.8609271523178808
2,entropy,0.9600665557404326,0.8609271523178808
2,log_loss,0.9600665557404326,0.8609271523178808
3,gini,0.9883527454242929,0.8807947019867549
3,entropy,0.9816971713810316,0.9006622516556292
3,log_loss,0.9816971713810316,0.9006622516556292
4,gini,0.9916805324459235,0.9271523178807947
4,entropy,0.9900166389351082,0.8874172185430463
4,log_loss,0.9900166389351082,0.8874172185430463
5,gini,0.9916805324459235,0.9271523178807947
5,entropy,0.9966722129783694,0.9205298013245033
5,log_loss,0.9966722129783694,0.9205298013245033
6,gini,0.9933444259567388,0.9470198675496688
6,entropy,0.9983361064891847,0.8807947019867549
6,log_loss,0.9983361064891847,0.8807947019867549
7,gini,0.9950083194675541,0.9602649006622517
7,entropy,1.0,0.9470198675496688
7,log_loss,1.0,0.9470198675496688
8,gini,0.9983361064891847,0.9470198675496688
8,entropy,1.0,0.9337748344370861
8,log_loss,1.0,0.9337748344370861
9,gini,0.9983361064891847,0.9602649006622517
9,entropy,1.0,0.9403973509933775
9,log_loss,1.0,0.9403973509933775
10,gini,1.0,0.9602649006622517
10,entropy,1.0,0.9337748344370861
10,log_loss,1.0,0.9337748344370861
11,gini,1.0,0.9668874172185431
11,entropy,1.0,0.9470198675496688
11,log_loss,1.0,0.9470198675496688
12,gini,1.0,0.9668874172185431
12,entropy,1.0,0.9470198675496688
12,log_loss,1.0,0.9470198675496688
13,gini,1.0,0.9668874172185431
13,entropy,1.0,0.9470198675496688
13,log_loss,1.0,0.9470198675496688
14,gini,1.0,0.9735099337748344
14,entropy,1.0,0.9536423841059603
14,log_loss,1.0,0.9536423841059603
15,gini,1.0,0.9735099337748344
15,entropy,1.0,0.9470198675496688
15,log_loss,1.0,0.9470198675496688
16,gini,1.0,0.9801324503311258
16,entropy,1.0,0.9470198675496688
16,log_loss,1.0,0.9470198675496688
17,gini,1.0,0.9735099337748344
17,entropy,1.0,0.9536423841059603
17,log_loss,1.0,0.9536423841059603
18,gini,1.0,0.9867549668874173
18,entropy,1.0,0.9470198675496688
18,log_loss,1.0,0.9470198675496688
19,gini,1.0,0.9801324503311258
19,entropy,1.0,0.9536423841059603
19,log_loss,1.0,0.9536423841059603
20,gini,1.0,0.9801324503311258
20,entropy,1.0,0.9536423841059603
20,log_loss,1.0,0.9536423841059603
