n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.930116472545757,0.8145695364238411
1,entropy,0.9450915141430949,0.8079470198675497
1,log_loss,0.9450915141430949,0.8079470198675497
2,gini,0.9467554076539102,0.8013245033112583
2,entropy,0.9417637271214643,0.8013245033112583
2,log_loss,0.9417637271214643,0.8013245033112583
3,gini,0.9816971713810316,0.8675496688741722
3,entropy,0.9883527454242929,0.8675496688741722
3,log_loss,0.9883527454242929,0.8675496688741722
4,gini,0.9883527454242929,0.8675496688741722
4,entropy,0.9916805324459235,0.8741721854304636
4,log_loss,0.9916805324459235,0.8741721854304636
5,gini,0.9933444259567388,0.9006622516556292
5,entropy,0.9950083194675541,0.9205298013245033
5,log_loss,0.9950083194675541,0.9205298013245033
6,gini,0.9983361064891847,0.9205298013245033
6,entropy,0.9950083194675541,0.9139072847682119
6,log_loss,0.9950083194675541,0.9139072847682119
7,gini,1.0,0.9072847682119205
7,entropy,0.9983361064891847,0.9271523178807947
7,log_loss,0.9983361064891847,0.9271523178807947
8,gini,0.9983361064891847,0.9205298013245033
8,entropy,0.9983361064891847,0.9271523178807947
8,log_loss,0.9983361064891847,0.9271523178807947
9,gini,1.0,0.9403973509933775
9,entropy,1.0,0.9536423841059603
9,log_loss,1.0,0.9536423841059603
10,gini,1.0,0.9337748344370861
10,entropy,1.0,0.9470198675496688
10,log_loss,1.0,0.9470198675496688
11,gini,1.0,0.9470198675496688
11,entropy,1.0,0.9602649006622517
11,log_loss,1.0,0.9602649006622517
12,gini,1.0,0.9403973509933775
12,entropy,1.0,0.9403973509933775
12,log_loss,1.0,0.9403973509933775
13,gini,1.0,0.9403973509933775
13,entropy,1.0,0.9602649006622517
13,log_loss,1.0,0.9602649006622517
14,gini,1.0,0.9536423841059603
14,entropy,1.0,0.9536423841059603
14,log_loss,1.0,0.9536423841059603
15,gini,1.0,0.9602649006622517
15,entropy,1.0,0.9602649006622517
15,log_loss,1.0,0.9602649006622517
16,gini,1.0,0.9470198675496688
16,entropy,1.0,0.9668874172185431
16,log_loss,1.0,0.9668874172185431
17,gini,1.0,0.9668874172185431
17,entropy,1.0,0.9668874172185431
17,log_loss,1.0,0.9668874172185431
18,gini,1.0,0.9668874172185431
18,entropy,1.0,0.9801324503311258
18,log_loss,1.0,0.9801324503311258
19,gini,1.0,0.9668874172185431
19,entropy,1.0,0.9735099337748344
19,log_loss,1.0,0.9735099337748344
20,gini,1.0,0.9668874172185431
20,entropy,1.0,0.9668874172185431
20,log_loss,1.0,0.9668874172185431
