n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.9384359400998337,0.8211920529801324
1,entropy,0.9417637271214643,0.847682119205298
1,log_loss,0.9417637271214643,0.847682119205298
2,gini,0.9384359400998337,0.7880794701986755
2,entropy,0.940099833610649,0.8741721854304636
2,log_loss,0.940099833610649,0.8741721854304636
3,gini,0.9750415973377704,0.8940397350993378
3,entropy,0.9866888519134775,0.9271523178807947
3,log_loss,0.9866888519134775,0.9271523178807947
4,gini,0.9816971713810316,0.9271523178807947
4,entropy,0.9850249584026622,0.9271523178807947
4,log_loss,0.9850249584026622,0.9271523178807947
5,gini,0.9916805324459235,0.9403973509933775
5,entropy,0.9966722129783694,0.9205298013245033
5,log_loss,0.9966722129783694,0.9205298013245033
6,gini,0.9933444259567388,0.9536423841059603
6,entropy,0.9966722129783694,0.9271523178807947
6,log_loss,0.9966722129783694,0.9271523178807947
7,gini,0.9983361064891847,0.9735099337748344
7,entropy,0.9966722129783694,0.9403973509933775
7,log_loss,0.9966722129783694,0.9403973509933775
8,gini,1.0,0.9867549668874173
8,entropy,0.9983361064891847,0.9403973509933775
8,log_loss,0.9983361064891847,0.9403973509933775
9,gini,1.0,0.9801324503311258
9,entropy,1.0,0.9602649006622517
9,log_loss,1.0,0.9602649006622517
10,gini,1.0,0.9801324503311258
10,entropy,1.0,0.9536423841059603
10,log_loss,1.0,0.9536423841059603
11,gini,1.0,0.9801324503311258
11,entropy,1.0,0.9470198675496688
11,log_loss,1.0,0.9470198675496688
12,gini,1.0,0.9801324503311258
12,entropy,1.0,0.9536423841059603
12,log_loss,1.0,0.9536423841059603
13,gini,1.0,0.9801324503311258
13,entropy,1.0,0.9668874172185431
13,log_loss,1.0,0.9668874172185431
14,gini,1.0,0.9735099337748344
14,entropy,1.0,0.9602649006622517
14,log_loss,1.0,0.9602649006622517
15,gini,1.0,0.9867549668874173
15,entropy,1.0,0.9801324503311258
15,log_loss,1.0,0.9801324503311258
16,gini,1.0,0.9867549668874173
16,entropy,1.0,0.9602649006622517
16,log_loss,1.0,0.9602649006622517
17,gini,1.0,0.9735099337748344
17,entropy,1.0,0.9801324503311258
17,log_loss,1.0,0.9801324503311258
18,gini,1.0,0.9735099337748344
18,entropy,1.0,0.9668874172185431
18,log_loss,1.0,0.9668874172185431
19,gini,1.0,0.9735099337748344
19,entropy,1.0,0.9801324503311258
19,log_loss,1.0,0.9801324503311258
20,gini,1.0,0.9735099337748344
20,entropy,1.0,0.9668874172185431
20,log_loss,1.0,0.9668874172185431
