n_estimators,criterion,accuracy_train,accuracy_test
1,gini,0.8785357737104825,0.6754966887417219
1,entropy,0.8768718801996672,0.6490066225165563
1,log_loss,0.8768718801996672,0.6490066225165563
2,gini,0.8785357737104825,0.6754966887417219
2,entropy,0.8951747088186356,0.6423841059602649
2,log_loss,0.8951747088186356,0.6423841059602649
3,gini,0.9500831946755408,0.7086092715231788
3,entropy,0.9450915141430949,0.6821192052980133
3,log_loss,0.9450915141430949,0.6821192052980133
4,gini,0.9600665557404326,0.7682119205298014
4,entropy,0.9500831946755408,0.7549668874172185
4,log_loss,0.9500831946755408,0.7549668874172185
5,gini,0.9750415973377704,0.7880794701986755
5,entropy,0.9733777038269551,0.7880794701986755
5,log_loss,0.9733777038269551,0.7880794701986755
6,gini,0.9750415973377704,0.7748344370860927
6,entropy,0.9767054908485857,0.7682119205298014
6,log_loss,0.9767054908485857,0.7682119205298014
7,gini,0.9816971713810316,0.7682119205298014
7,entropy,0.9850249584026622,0.7748344370860927
7,log_loss,0.9850249584026622,0.7748344370860927
8,gini,0.9866888519134775,0.7814569536423841
8,entropy,0.9900166389351082,0.7549668874172185
8,log_loss,0.9900166389351082,0.7549668874172185
9,gini,0.9966722129783694,0.7880794701986755
9,entropy,0.9900166389351082,0.7682119205298014
9,log_loss,0.9900166389351082,0.7682119205298014
10,gini,0.9933444259567388,0.8079470198675497
10,entropy,0.9966722129783694,0.7615894039735099
10,log_loss,0.9966722129783694,0.7615894039735099
11,gini,0.9983361064891847,0.8211920529801324
11,entropy,0.9966722129783694,0.7814569536423841
11,log_loss,0.9966722129783694,0.7814569536423841
12,gini,0.9983361064891847,0.8013245033112583
12,entropy,0.9983361064891847,0.8079470198675497
12,log_loss,0.9983361064891847,0.8079470198675497
13,gini,0.9983361064891847,0.8013245033112583
13,entropy,0.9966722129783694,0.8013245033112583
13,log_loss,0.9966722129783694,0.8013245033112583
14,gini,1.0,0.7880794701986755
14,entropy,0.9983361064891847,0.8013245033112583
14,log_loss,0.9983361064891847,0.8013245033112583
15,gini,0.9983361064891847,0.7947019867549668
15,entropy,0.9983361064891847,0.8013245033112583
15,log_loss,0.9983361064891847,0.8013245033112583
16,gini,0.9983361064891847,0.8145695364238411
16,entropy,0.9983361064891847,0.7947019867549668
16,log_loss,0.9983361064891847,0.7947019867549668
17,gini,1.0,0.8278145695364238
17,entropy,0.9983361064891847,0.8013245033112583
17,log_loss,0.9983361064891847,0.8013245033112583
18,gini,1.0,0.8145695364238411
18,entropy,0.9983361064891847,0.7947019867549668
18,log_loss,0.9983361064891847,0.7947019867549668
19,gini,1.0,0.8211920529801324
19,entropy,1.0,0.8013245033112583
19,log_loss,1.0,0.8013245033112583
20,gini,1.0,0.8079470198675497
20,entropy,1.0,0.7947019867549668
20,log_loss,1.0,0.7947019867549668
